Time,<instanceKlassKlass> Data
0,26994
1,56312
2,56318
3,56318
4,56318
5,56318
6,56318
7,56318
8,27426
9,27426
10,27427
11,27427
12,27427
13,27427
14,27427
15,27427
16,27427
17,27427
18,27427
19,27428
20,27386
21,27470
22,27470
23,27470
24,27470
25,27470
26,27470
27,27470
28,27470
29,27470
30,27473
31,27473
32,27473
33,27473
34,27473
35,27474
36,27474
37,27474
38,27474
39,27474
40,27474
41,27474
42,27474
43,27474
44,27474
45,27474
46,27474
47,27474
48,27474
49,27474
50,27474
51,27474
52,27474
53,27474
54,27475
55,27475
56,27475
57,27475
58,27475
59,27475
60,27475
61,27475
62,27475
63,27475
64,27475
65,27475
66,27475
67,27475
68,27475
69,27475
70,27475
71,27475
72,27475
73,27475
74,27475
75,27475
76,27475
77,27475
78,27475
79,27475
80,27475
81,27475
82,27475
83,27475
84,27475
85,27475
86,27475
87,27475
88,27475
89,27475
90,27475
91,27475
92,27475
93,27475
94,27475
95,27475
96,27475
97,27475
98,27475
99,27475
100,27475
101,27475
102,27475
103,27475
104,27475
105,27475
106,27475
107,27475
108,27475
109,27475
110,27475
111,27475
112,27475
113,27475
114,27475
115,27475
116,27475
117,27475
118,27475
119,27475
120,27475
121,27475
122,27475
123,27475
124,27475
125,27475
126,27475
127,27475
128,27475
129,27475
130,27475
131,27475
132,27475
133,27475
134,27475
135,27475
136,27475
137,27475
138,27475
139,27475
140,27475
141,27475
142,27475
143,27475
144,27475
145,27475
146,27475
147,27475
148,27475
149,27475
150,27475
151,27475
152,27475
153,27475
154,27475
155,27475
156,27475
157,27475
158,27475
159,27475
160,27475
161,27475
162,27475
163,27475
164,27475
165,27475
166,27475
167,27475
168,27475
169,27475
170,27475
171,27475
172,27475
173,27475
174,27475
175,27475
176,27475
177,27475
178,27475
179,27475
180,27475
181,27475
182,27475
183,27475
184,27475
185,27475
186,27475
187,27475
188,27475
189,27475
190,27475
191,27475
192,27475
193,27475
194,27476
195,27476
196,27476
197,27476
198,27476
199,27476
200,27476
201,27476
202,27476
203,27476
204,27476
205,27477
