Time,<methodDataKlass> Data
0,5701
1,6224
2,6377
3,6493
4,6601
5,6647
6,6695
7,6708
8,6722
9,6736
10,6744
11,6756
12,6779
13,6788
14,6798
15,6807
16,6811
17,6814
18,6820
19,6826
20,6832
21,6841
22,6851
23,6858
24,6867
25,6873
26,6876
27,6881
28,6886
29,6895
30,6900
31,6905
32,6915
33,6932
34,6939
35,6940
36,6943
37,6952
38,6965
39,6972
40,6976
41,6982
42,6986
43,6988
44,6991
45,6997
46,7000
47,7002
48,7006
49,7007
50,7011
51,7014
52,7015
53,7021
54,7033
55,7034
56,7034
57,7035
58,7037
59,7039
60,7041
61,7048
62,7051
63,7054
64,7058
65,7060
66,7063
67,7064
68,7064
69,7065
70,7066
71,7066
72,7068
73,7069
74,7071
75,7072
76,7072
77,7072
78,7072
79,7073
80,7086
81,7095
82,7098
83,7106
84,7106
85,7107
86,7107
87,7108
88,7108
89,7109
90,7110
91,7111
92,7112
93,7115
94,7116
95,7128
96,7141
97,7141
98,7141
99,7141
100,7141
101,7143
102,7143
103,7143
104,7144
105,7145
106,7147
107,7150
108,7151
109,7152
110,7154
111,7158
112,7169
113,7182
114,7182
115,7182
116,7182
117,7182
118,7182
119,7182
120,7182
121,7182
122,7182
123,7182
124,7182
125,7182
126,7182
127,7182
128,7183
129,7184
130,7184
131,7185
132,7185
133,7187
134,7189
135,7190
136,7193
137,7193
138,7193
139,7193
140,7197
141,7201
142,7202
143,7202
144,7202
145,7202
146,7202
147,7202
148,7202
149,7202
150,7202
151,7202
152,7202
153,7202
154,7202
155,7202
156,7203
157,7203
158,7204
159,7204
160,7205
161,7205
162,7206
163,7206
164,7206
165,7207
166,7207
167,7207
168,7207
169,7207
170,7210
171,7215
172,7220
173,7220
174,7221
175,7221
176,7221
177,7221
178,7221
179,7222
180,7223
181,7223
182,7223
183,7224
184,7224
185,7224
186,7224
187,7224
188,7225
189,7225
190,7225
191,7225
192,7225
193,7227
194,7227
195,7227
196,7227
197,7227
198,7227
199,7227
200,7227
201,7228
202,7228
203,7228
204,7229
205,7229
