Time,[B Data
0,116780
1,216033
2,180780
3,192083
4,195549
5,112506
6,224436
7,210471
8,66030
9,172884
10,118209
11,135563
12,105657
13,178842
14,187671
15,106105
16,184644
17,160117
18,78296
19,142697
20,76715
21,156779
22,182747
23,163398
24,188937
25,239809
26,222680
27,67063
28,94512
29,78409
30,103337
31,217069
32,98459
33,93836
34,192910
35,198974
36,187319
37,175643
38,101187
39,75406
40,248929
41,152175
42,102865
43,104737
44,110497
45,72188
46,215223
47,109084
48,226480
49,178045
50,69428
51,200753
52,107460
53,143993
54,118408
55,241693
56,202609
57,142551
58,69516
59,82296
60,209238
61,127027
62,157149
63,226696
64,144139
65,144866
66,70258
67,83665
68,209798
69,111115
70,93044
71,167676
72,224928
73,227165
74,92445
75,140224
76,162156
77,204806
78,246411
79,244920
80,78165
81,106061
82,96942
83,158351
84,182542
85,158320
86,150923
87,188817
88,135182
89,171187
90,182953
91,133856
92,125456
93,141941
94,111793
95,77262
96,286510
97,288114
98,193900
99,179537
100,166857
101,73601
102,277087
103,235490
104,131763
105,132330
106,71620
107,185927
108,136628
109,118569
110,200104
111,162739
112,124166
113,223320
114,168193
115,115472
116,272694
117,151825
118,312221
119,227402
120,97783
121,277619
122,271069
123,162808
124,305651
125,240953
126,313309
127,210166
128,110706
129,199864
130,99386
131,260605
132,321981
133,212161
134,309531
135,162902
136,255627
137,112877
138,236323
139,309133
140,177130
141,308915
142,104185
143,229929
144,320373
145,158984
146,315547
147,137968
148,218011
149,331917
150,183438
151,221989
152,330509
153,178416
154,206707
155,327651
156,138625
157,151319
158,76919
159,167054
160,163478
161,260009
162,350911
163,79520
164,139578
165,251978
166,259205
167,311538
168,92684
169,167117
170,76212
171,133167
172,241123
173,216642
174,264180
175,343197
176,340520
177,93521
178,159284
179,132971
180,192594
181,230501
182,84088
183,134105
184,173693
185,165887
186,200188
187,221200
188,193916
189,229852
190,286808
191,239099
192,257787
193,312145
194,165243
195,192443
196,204566
197,168595
198,183679
199,201299
200,136731
201,142890
202,125721
203,110893
204,101502
205,364089
