Time,[I Data
0,48689
1,73004
2,69201
3,69248
4,73609
5,55591
6,81835
7,78904
8,37989
9,64875
10,55160
11,59946
12,49985
13,67973
14,70203
15,54686
16,70270
17,69075
18,46286
19,62734
20,40606
21,58418
22,67907
23,62330
24,70173
25,79242
26,76195
27,42553
28,48014
29,46770
30,52703
31,79401
32,48096
33,48906
34,74048
35,73875
36,71196
37,71097
38,53990
39,46760
40,85836
41,64158
42,54894
43,52819
44,50467
45,44235
46,78455
47,51499
48,81309
49,68597
50,43560
51,74756
52,58539
53,68475
54,55163
55,84284
56,70445
57,55472
58,42860
59,44785
60,76698
61,53686
62,61621
63,81318
64,61931
65,67475
66,47505
67,49917
68,74758
69,51887
70,50804
71,66501
72,83910
73,83014
74,46841
75,63681
76,63705
77,76826
78,88864
79,88615
80,47438
81,58856
82,54974
83,67274
84,73749
85,66124
86,61136
87,71788
88,59496
89,68600
90,68903
91,59508
92,59904
93,60425
94,57278
95,46339
96,98369
97,97032
98,68008
99,66485
100,64975
101,43719
102,87765
103,86429
104,58439
105,59480
106,44974
107,70974
108,64431
109,53203
110,69308
111,64567
112,51887
113,78063
114,67949
115,49794
116,90936
117,61132
118,101485
119,84644
120,53329
121,92345
122,89172
123,66493
124,97844
125,81314
126,103836
127,77936
128,59596
129,75899
130,53585
131,87544
132,108184
133,81254
134,94295
135,60496
136,87620
137,58158
138,85200
139,99554
140,68028
141,99824
142,53280
143,80219
144,105689
145,64311
146,97667
147,62687
148,80640
149,106276
150,71638
151,81709
152,106704
153,70633
154,78532
155,106930
156,64889
157,70511
158,46393
159,67152
160,70619
161,92020
162,110824
163,47550
164,66371
165,85734
166,89054
167,103808
168,52790
169,70712
170,45837
171,61860
172,82817
173,79483
174,93474
175,109375
176,108870
177,51843
178,65949
179,62596
180,75129
181,86454
182,47475
183,57088
184,68231
185,64235
186,75748
187,80964
188,73821
189,83773
190,95169
191,86931
192,95460
193,105169
194,63001
195,72162
196,75549
197,64605
198,70354
199,76101
200,63109
201,63508
202,55354
203,56218
204,55882
205,114980
