Time,[J Data
0,249
1,259
2,260
3,257
4,259
5,254
6,258
7,259
8,193
9,201
10,199
11,201
12,198
13,201
14,201
15,199
16,202
17,202
18,195
19,199
20,194
21,201
22,201
23,199
24,202
25,203
26,202
27,197
28,196
29,198
30,198
31,203
32,196
33,196
34,203
35,201
36,204
37,203
38,198
39,196
40,204
41,202
42,196
43,198
44,196
45,195
46,202
47,197
48,204
49,203
50,195
51,203
52,198
53,201
54,196
55,203
56,200
57,196
58,194
59,196
60,202
61,196
62,197
63,205
64,203
65,200
66,199
67,196
68,200
69,197
70,196
71,198
72,204
73,204
74,194
75,202
76,198
77,203
78,207
79,204
80,196
81,198
82,197
83,204
84,201
85,198
86,200
87,201
88,197
89,200
90,201
91,199
92,200
93,198
94,198
95,195
96,205
97,205
98,199
99,200
100,200
101,194
102,203
103,205
104,197
105,201
106,195
107,200
108,200
109,197
110,201
111,201
112,197
113,204
114,204
115,196
116,205
117,200
118,206
119,205
120,197
121,202
122,206
123,200
124,206
125,202
126,207
127,201
128,197
129,202
130,197
131,204
132,207
133,202
134,205
135,200
136,204
137,199
138,208
139,209
140,200
141,207
142,197
143,202
144,214
145,199
146,207
147,200
148,202
149,208
150,201
151,206
152,209
153,200
154,202
155,209
156,201
157,200
158,195
159,199
160,200
161,210
162,210
163,194
164,199
165,204
166,203
167,209
168,195
169,200
170,195
171,199
172,204
173,203
174,206
175,209
176,209
177,195
178,199
179,199
180,201
181,204
182,195
183,197
184,202
185,199
186,203
187,203
188,201
189,203
190,206
191,205
192,204
193,208
194,199
195,202
196,203
197,199
198,203
199,201
200,200
201,200
202,197
203,198
204,198
205,212
