Time,[Lantlr.Token; Data
0,436
1,550
2,584
3,641
4,697
5,731
6,796
7,850
8,663
9,70
10,727
11,775
12,818
13,874
14,937
15,980
16,1026
17,1090
18,1127
19,1180
20,1243
21,780
22,842
23,900
24,941
25,999
26,1061
27,1111
28,1143
29,70
30,1199
31,1245
32,1267
33,1329
34,756
35,811
36,865
37,920
38,975
39,1029
40,1064
41,1119
42,1190
43,1225
44,1273
45,1334
46,777
47,832
48,70
49,896
50,934
51,996
52,1051
53,1085
54,70
55,1150
56,1196
57,1240
58,1301
59,1366
60,778
61,830
62,878
63,70
64,922
65,987
66,1039
67,1090
68,1141
69,1193
70,1231
71,1284
72,1329
73,789
74,840
75,878
76,942
77,998
78,1042
79,750
80,800
81,856
82,914
83,970
84,1013
85,1058
86,1114
87,1157
88,1219
89,1276
90,1318
91,755
92,816
93,851
94,914
95,971
96,1007
97,1060
98,1123
99,1164
100,1214
101,1287
102,1343
103,776
104,831
105,886
106,920
107,70
108,992
109,1039
110,1074
111,1136
112,1184
113,1236
114,1284
115,1345
116,770
117,823
118,877
119,924
120,977
121,1031
122,1097
123,1130
124,1198
125,1235
126,1277
127,1349
128,776
129,822
130,890
131,941
132,987
133,1034
134,1080
135,1133
136,1178
137,1250
138,1295
139,1342
140,788
141,830
142,877
143,923
144,987
145,1040
146,1086
147,1150
148,1175
149,1240
150,1290
151,1336
152,799
153,829
154,888
155,953
156,998
157,1042
158,1107
159,1152
160,1196
161,1261
162,1299
163,1341
164,771
165,836
166,872
167,936
168,1000
169,1024
170,1080
171,1151
172,1202
173,1252
174,1288
175,1352
176,771
177,829
178,897
179,935
180,992
181,1054
182,1099
183,1134
184,1198
185,1233
186,1298
187,1354
188,768
189,830
190,888
191,929
192,987
193,1042
194,1086
195,1141
196,1204
197,1240
198,1296
199,1360
200,777
201,835
202,890
203,931
204,989
205,1044
206,1078
207,1136
208,1192
209,1232
210,1287
211,1351
