Time,[Lcom.sun.org.apache.xalan.internal.utils.FeaturePropertyBase$State; Data
0,153
1,237
2,211
3,223
4,131
5,267
6,243
7,111
8,247
9,181
10,225
11,155
12,249
13,255
14,191
15,261
16,237
17,141
18,205
19,129
20,215
21,255
22,251
23,261
24,345
25,279
26,119
27,171
28,123
29,191
30,309
31,149
32,171
33,267
34,273
35,267
36,219
37,161
38,135
39,321
40,227
41,177
42,177
43,179
44,129
45,315
46,155
47,327
48,243
49,123
50,279
51,175
52,225
53,171
54,333
55,273
56,213
57,123
58,137
59,287
60,195
61,233
62,311
63,211
64,231
65,113
66,137
67,279
68,153
69,149
70,229
71,307
72,305
73,159
74,207
75,227
76,279
77,319
78,329
79,129
80,169
81,149
82,217
83,249
84,233
85,219
86,261
87,227
88,249
89,265
90,227
91,205
92,217
93,157
94,141
95,385
96,373
97,255
98,253
99,235
100,129
101,375
102,335
103,215
104,199
105,123
106,255
107,207
108,183
109,267
110,231
111,189
112,317
113,237
114,189
115,325
116,227
117,415
118,317
119,155
120,369
121,367
122,235
123,403
124,309
125,411
126,291
127,181
128,273
129,155
130,351
131,429
132,287
133,397
134,203
135,359
136,187
137,295
138,393
139,247
140,387
141,167
142,333
143,465
144,239
145,403
146,217
147,299
148,435
149,249
150,305
151,435
152,247
153,285
154,423
155,205
156,231
157,125
158,229
159,237
160,363
161,471
162,135
163,207
164,339
165,329
166,393
167,165
168,207
169,125
170,199
171,297
172,293
173,349
174,453
175,441
176,165
177,211
178,209
179,267
180,325
181,143
182,201
183,241
184,251
185,273
186,315
187,255
188,327
189,361
190,323
191,361
192,399
193,245
194,267
195,285
196,251
197,249
198,279
199,223
200,229
201,179
202,197
203,179
204,479
