Time,[Lcom.sun.org.apache.xerces.internal.impl.XMLEntityManager$CharacterBuffer; Data
0,268
1,416
2,438
3,342
4,354
5,116
6,536
7,440
8,428
9,144
10,374
11,188
12,416
13,512
14,252
15,464
16,434
17,114
18,270
19,114
20,414
21,440
22,520
23,498
24,680
25,626
26,114
27,106
28,294
29,704
30,236
31,172
32,586
33,560
34,486
35,408
36,236
37,762
38,422
39,202
40,180
41,308
42,632
43,188
44,704
45,392
46,582
47,132
48,374
49,252
50,694
51,608
52,364
53,92
54,610
55,292
56,470
57,750
58,294
59,398
60,116
61,632
62,184
63,184
64,362
65,626
66,730
67,162
68,278
69,462
70,606
71,650
72,850
73,90
74,132
75,204
76,440
77,440
78,470
79,350
80,488
81,420
82,464
83,462
84,404
85,326
86,294
87,90
88,884
89,812
90,536
91,438
92,348
93,930
94,722
95,396
96,262
97,512
98,302
99,224
100,584
101,416
102,252
103,728
104,440
105,216
106,742
107,424
108,980
109,698
110,212
111,906
112,842
113,488
114,932
115,722
116,1054
117,632
118,156
119,548
120,212
121,794
122,1126
123,610
124,980
125,446
126,896
127,180
128,650
129,916
130,414
131,934
132,254
133,680
134,1108
135,470
136,1004
137,266
138,658
139,1078
140,416
141,682
142,1078
143,414
144,608
145,1054
146,204
147,398
148,340
149,412
150,844
151,1174
152,90
153,302
154,770
155,796
156,916
157,138
158,344
159,228
160,698
161,634
162,756
163,1126
164,1146
165,138
166,294
167,348
168,488
169,648
170,116
171,306
172,384
173,518
174,552
175,656
176,512
177,704
178,812
179,802
180,794
181,934
182,486
183,508
184,578
185,510
186,440
187,560
188,398
189,276
190,254
191,260
192,180
193,1272
