Time,[Lcom.sun.org.apache.xerces.internal.utils.XMLSecurityManager$NameMap; Data
0,1985
1,3185
2,3361
3,2593
4,2673
5,785
6,4145
7,3377
8,193
9,3281
10,993
11,2849
12,1361
13,3185
14,3953
15,1873
16,3569
17,3313
18,769
19,2017
20,769
21,3169
22,3377
23,4017
24,3833
25,5297
26,4865
27,769
28,705
29,2209
30,5473
31,1745
32,1233
33,4545
34,4337
35,3745
36,3105
37,1745
38,417
39,5953
40,3233
41,1473
42,1297
43,2321
44,321
45,4913
46,1361
47,5489
48,2993
49,193
50,4513
51,913
52,2849
53,1873
54,5409
55,4721
56,2769
57,193
58,593
59,4737
60,2193
61,3617
62,5841
63,2209
64,3041
65,785
66,4913
67,1313
68,1313
69,2737
70,4865
71,5697
72,1153
73,2081
74,3553
75,4705
76,5057
77,6657
78,577
79,913
80,1473
81,3377
82,3377
83,3617
84,2657
85,3761
86,3217
87,3569
88,3553
89,3089
90,2465
91,2209
92,728
93,577
94,6929
95,6353
96,4145
97,3361
98,2633
99,385
100,7297
101,5633
102,3025
103,1953
104,193
105,3953
106,2273
107,1633
108,4529
109,3185
110,1873
111,5681
112,3377
113,1569
114,5793
115,3249
116,7697
117,5441
118,1553
119,7105
120,6593
121,3761
122,7313
123,5633
124,8289
125,4913
126,1105
127,4233
128,1553
129,6209
130,8865
131,4737
132,7697
133,3425
134,7025
135,1297
136,5057
137,7185
138,3169
139,7329
140,1889
141,5297
142,8721
143,3617
144,7889
145,1985
146,5121
147,8481
148,3185
149,5313
150,8481
151,3169
152,4721
153,8289
154,1489
155,3041
156,209
157,2577
158,3153
159,6609
160,9249
161,577
162,2273
163,6001
164,6225
165,7185
166,961
167,2609
168,209
169,1681
170,5441
171,4929
172,5905
173,8865
174,9009
175,961
176,2209
177,2641
178,3761
179,5041
180,785
181,2297
182,2929
183,4001
184,4257
185,5105
186,3953
187,5489
188,6353
189,6273
190,6209
191,7329
192,3745
193,3905
194,4481
195,3937
196,3377
197,4337
198,3041
199,2065
200,1889
201,1937
202,1297
203,10033
