Time,[Lcom.sun.xml.bind.v2.runtime.property.Property; Data
0,4400
1,534
2,100
3,9218
4,534
5,9218
6,534
7,9218
8,534
9,9218
10,534
11,9218
12,534
13,100
14,9218
15,534
16,9218
17,534
18,9218
19,534
20,100
21,9218
22,534
23,9218
24,534
25,9218
26,534
27,9218
28,534
29,9218
30,534
31,9218
32,534
33,9218
34,534
35,9218
36,534
37,9218
38,534
39,9218
40,534
41,100
42,9218
43,534
44,9218
45,534
46,100
47,9218
48,534
49,9218
50,534
51,9218
52,534
53,9218
54,534
55,9218
56,534
57,9218
58,534
59,9218
60,534
61,100
62,9218
63,534
64,100
65,9218
66,534
67,100
68,9218
69,534
70,100
71,9218
72,534
73,9218
74,534
75,100
76,9218
77,534
78,100
79,9218
80,534
81,9218
82,534
83,9218
84,534
85,9218
86,534
87,9218
88,534
89,100
90,9218
91,534
92,100
93,9218
94,534
95,9218
96,534
97,9218
98,534
99,9218
100,534
101,100
102,9218
103,534
104,100
105,9218
106,534
107,100
108,9218
109,534
110,9218
111,534
112,9218
113,534
114,9218
115,534
116,9218
117,534
118,100
119,9218
120,534
121,9218
122,534
123,9218
124,534
125,9218
126,534
127,9218
128,534
129,9218
130,534
131,9218
132,534
133,9218
134,534
135,100
136,9218
137,534
138,100
139,9218
140,534
141,9218
142,534
143,9218
144,534
145,9218
146,534
147,9218
148,534
149,9218
150,534
151,9218
152,534
153,100
154,9218
155,534
156,100
157,9218
158,534
159,9218
160,534
161,100
162,9218
163,534
164,100
165,9218
166,534
167,9218
168,534
169,9218
170,534
171,9218
172,534
173,100
174,9218
175,534
176,9218
177,534
178,9218
179,534
180,9218
181,534
182,9218
183,534
184,9218
185,534
186,100
187,9218
188,534
189,9218
190,534
191,100
192,9218
193,534
194,9218
195,534
196,9218
197,534
198,9218
199,534
200,9218
201,534
202,9218
203,534
204,9218
205,534
206,9218
207,534
208,9218
209,534
210,9218
211,534
212,9218
213,534
214,9218
215,534
216,9218
217,534
218,100
219,9218
220,534
221,9218
222,534
223,9218
224,534
225,9218
226,534
227,9218
228,534
229,9218
230,534
231,100
232,9218
233,534
234,9218
235,534
236,9218
237,534
238,9218
239,534
240,9218
241,534
242,100
243,9218
244,534
245,9218
246,534
247,9218
248,534
249,9218
250,534
251,9218
252,534
253,9218
254,534
255,9218
256,534
257,9218
258,534
259,9218
260,534
261,9218
262,534
263,9218
264,534
265,9218
266,534
267,9218
268,534
269,9218
270,534
271,100
272,9218
273,534
274,9218
275,534
276,9218
277,534
278,9218
279,534
280,9218
281,534
282,9218
283,534
284,9218
285,534
286,9218
287,534
288,9218
289,534
290,9218
291,534
292,100
293,9218
294,534
295,9218
296,534
297,9218
298,534
299,9218
300,534
301,9218
302,534
303,9218
304,534
305,9218
306,534
307,9218
308,534
309,9218
310,534
311,9218
312,534
313,9218
314,534
315,9218
316,534
317,100
318,9218
319,534
320,9218
321,534
322,9218
323,534
324,9218
325,534
326,9218
327,534
328,9218
329,534
330,9218
331,534
332,9218
333,534
334,9218
335,534
336,9218
337,534
338,9218
339,534
340,9218
341,534
342,9218
343,534
344,9218
345,534
346,9218
347,534
348,9218
349,534
350,100
351,9218
352,534
353,9218
354,534
355,9218
356,534
357,9218
358,534
359,9218
360,534
361,100
362,9218
363,534
364,9218
365,534
366,9218
367,534
368,9218
369,534
370,9218
371,534
372,100
373,9218
374,534
375,9218
376,534
377,100
378,9218
379,534
380,9218
381,534
382,9218
383,534
384,9218
385,534
386,9218
387,534
388,9218
389,534
390,9218
391,534
392,100
393,9218
394,534
395,9218
396,534
397,9218
398,534
399,9218
400,534
401,9218
402,534
403,100
404,9218
405,534
406,9218
407,534
408,9218
409,534
410,9218
411,534
412,9218
413,534
414,9218
415,534
416,9218
417,534
418,9218
419,534
420,9218
421,534
422,9218
423,534
424,9218
425,534
426,9218
427,534
428,9218
429,534
430,9218
431,534
432,9218
433,534
434,9218
435,534
436,9218
437,534
438,9218
439,534
440,9218
441,534
442,9218
443,534
444,9218
445,534
446,9218
447,534
448,9218
449,534
