Time,[Lcom.sun.xml.bind.v2.util.QNameMap$Entry; Data
0,4542
1,627
2,149
3,81
4,9506
5,627
6,149
7,81
8,9506
9,627
10,149
11,81
12,9506
13,627
14,149
15,81
16,9506
17,627
18,149
19,81
20,9506
21,627
22,149
23,81
24,41
25,9506
26,627
27,149
28,81
29,9506
30,627
31,149
32,81
33,9503
34,627
35,149
36,81
37,41
38,9503
39,627
40,149
41,81
42,9503
43,627
44,149
45,81
46,9503
47,627
48,149
49,81
50,9503
51,627
52,149
53,81
54,9503
55,627
56,149
57,81
58,9503
59,627
60,149
61,81
62,9503
63,627
64,149
65,81
66,9503
67,627
68,149
69,81
70,9503
71,627
72,149
73,81
74,9503
75,627
76,149
77,81
78,41
79,9503
80,627
81,149
82,81
83,9503
84,627
85,149
86,81
87,41
88,9503
89,627
90,149
91,81
92,9503
93,627
94,149
95,81
96,9503
97,627
98,149
99,81
100,9503
101,627
102,149
103,81
104,9503
105,627
106,149
107,81
108,9503
109,627
110,149
111,81
112,9503
113,627
114,149
115,81
116,41
117,9503
118,627
119,149
120,81
121,41
122,9503
123,627
124,149
125,81
126,41
127,9503
128,627
129,149
130,81
131,9503
132,627
133,149
134,81
135,9503
136,627
137,149
138,81
139,41
140,9503
141,627
142,149
143,81
144,41
145,9503
146,627
147,149
148,81
149,9503
150,627
151,149
152,81
153,9503
154,627
155,149
156,81
157,9503
158,627
159,149
160,81
161,9503
162,627
163,149
164,81
165,41
166,9503
167,627
168,149
169,81
170,41
171,9503
172,627
173,149
174,81
175,9503
176,627
177,149
178,81
179,9503
180,627
181,149
182,81
183,9503
184,627
185,149
186,81
187,41
188,9503
189,627
190,149
191,81
192,9503
193,627
194,149
195,81
196,41
197,9503
198,627
199,149
200,81
201,9503
202,627
203,149
204,81
205,9503
206,627
207,149
208,81
209,9503
210,627
211,149
212,81
213,9503
214,627
215,149
216,81
217,41
218,9503
219,627
220,149
221,81
222,9503
223,627
224,149
225,81
226,9503
227,627
228,149
229,81
230,9503
231,627
232,149
233,81
234,9503
235,627
236,149
237,81
238,9503
239,627
240,149
241,81
242,9503
243,627
244,149
245,81
246,9503
247,627
248,149
249,81
250,41
251,9503
252,627
253,149
254,81
255,41
256,9503
257,627
258,149
259,81
260,9503
261,627
262,149
263,81
264,9503
265,627
266,149
267,81
268,9503
269,627
270,149
271,81
272,9503
273,627
274,149
275,81
276,9503
277,627
278,149
279,81
280,9503
281,627
282,149
283,81
284,41
285,9503
286,627
287,149
288,81
289,41
290,9503
291,627
292,149
293,81
294,9503
295,627
296,149
297,81
298,9503
299,627
300,149
301,81
302,41
303,9503
304,627
305,149
306,81
307,9503
308,627
309,149
310,81
311,9503
312,627
313,149
314,81
315,9503
316,627
317,149
318,81
319,41
320,9503
321,627
322,149
323,81
324,9503
325,627
326,149
327,81
328,9503
329,627
330,149
331,81
332,9503
333,627
334,149
335,81
336,9503
337,627
338,149
339,81
340,9503
341,627
342,149
343,81
344,41
345,9503
346,627
347,149
348,81
349,9503
350,627
351,149
352,81
353,41
354,9503
355,627
356,149
357,81
358,9503
359,627
360,149
361,81
362,9503
363,627
364,149
365,81
366,9503
367,627
368,149
369,81
370,9503
371,627
372,149
373,81
374,9503
375,627
376,149
377,81
378,9503
379,627
380,149
381,81
382,9503
383,627
384,149
385,81
386,9503
387,627
388,149
389,81
390,9503
391,627
392,149
393,81
394,9503
395,627
396,149
397,81
398,9503
399,627
400,149
401,81
402,9503
403,627
404,149
405,81
406,41
407,9503
408,627
409,149
410,9503
411,627
412,149
413,9503
414,627
415,149
416,81
417,9503
418,627
419,149
420,81
421,9503
422,627
423,149
424,81
425,9503
426,627
427,149
428,81
429,41
430,9503
431,627
432,149
433,9503
434,627
435,149
436,81
437,9503
438,627
439,149
440,81
441,9503
442,627
443,149
444,81
445,9503
446,627
447,149
448,81
449,41
450,9503
451,627
452,149
453,81
454,9503
455,627
456,149
457,81
458,9503
459,627
460,149
461,81
462,9503
463,627
464,149
465,81
466,9503
467,627
468,149
469,81
470,9503
471,627
472,149
473,81
474,9503
475,627
476,149
477,81
478,9503
479,627
480,149
481,81
482,9503
483,627
484,149
485,81
486,9503
487,627
488,149
489,9503
490,627
491,149
492,81
493,9503
494,627
495,149
496,9503
497,627
498,149
499,81
500,9503
501,627
502,149
503,81
504,41
505,9503
506,627
507,149
508,9503
509,627
510,149
511,81
512,9503
513,627
514,149
515,81
516,9503
517,627
518,149
519,9503
520,627
521,149
522,81
523,9503
524,627
525,149
526,9503
527,627
528,149
529,81
530,9503
531,627
532,149
533,81
534,9503
535,627
536,149
537,81
538,9503
539,627
540,149
541,81
542,41
543,9503
544,627
545,149
546,9503
547,627
548,149
549,9503
550,627
551,149
552,81
553,9503
554,627
555,149
556,9503
557,627
558,149
559,81
560,9503
561,627
562,149
563,81
564,9503
565,627
566,149
567,81
568,9503
569,627
570,149
571,81
572,9503
573,627
574,149
575,9503
576,627
577,149
578,81
579,9503
580,627
581,149
582,9503
583,627
584,149
585,81
586,9503
587,627
588,149
589,81
590,9503
591,627
592,149
593,9503
594,627
595,149
596,81
597,9503
598,627
599,149
600,9503
601,627
602,149
603,81
604,9503
605,627
606,149
607,81
608,9503
609,627
610,149
611,9503
612,627
613,149
614,81
615,9503
616,627
617,149
618,81
619,9503
620,627
621,149
622,9503
623,627
624,149
625,81
626,9503
627,627
628,149
629,81
630,9503
631,627
632,149
633,9503
634,627
635,149
636,81
637,9503
638,627
639,149
640,81
641,9503
642,627
643,149
644,81
645,41
646,9503
647,627
648,149
649,81
650,9503
651,627
652,149
653,81
654,9503
655,627
656,149
657,81
658,9503
659,627
660,149
661,9503
662,627
663,149
664,81
665,41
666,9503
667,627
668,149
669,81
670,9503
671,627
672,149
673,81
674,9503
675,627
676,149
677,81
678,9503
679,627
680,149
681,9503
682,627
683,149
684,81
685,41
686,9503
687,627
688,149
689,81
690,9503
691,627
692,149
693,81
694,41
695,9503
696,627
697,149
698,81
699,9503
700,627
701,149
702,81
703,9503
704,627
705,149
706,81
707,9503
708,627
709,149
710,81
711,9503
712,627
713,149
714,9503
715,627
716,149
717,9503
718,627
719,149
720,81
721,41
722,9503
723,627
724,149
725,81
726,9503
727,627
728,149
729,81
730,9503
731,627
732,149
733,81
734,9503
735,627
736,149
737,81
738,9503
739,627
740,149
741,81
742,41
743,9503
744,627
745,149
746,81
747,9503
748,627
749,149
750,81
751,9503
752,627
753,149
754,81
755,9503
756,627
757,149
758,81
759,9503
760,627
761,149
762,81
763,9503
764,627
765,149
766,81
767,9503
768,627
769,149
770,81
771,9503
772,627
773,149
774,9503
775,627
776,149
777,81
778,9503
779,627
780,149
781,81
782,9503
783,627
784,149
785,9503
786,627
787,149
788,81
789,9503
790,627
791,149
792,81
793,9503
794,627
795,149
796,81
797,9503
798,627
799,149
800,81
801,9503
802,627
803,149
804,81
805,9503
806,627
807,149
808,81
809,9503
810,627
811,149
812,81
813,9503
814,627
815,149
816,81
817,9503
818,627
819,149
820,81
821,9503
822,627
823,149
824,81
825,9503
826,627
827,149
828,81
829,9503
830,627
831,149
