Time,[Lcom.sun.xml.stream.xerces.util.SymbolTable$Entry; Data
0,12
1,27
2,29
3,29
4,28
5,28
6,6
7,31
8,32
9,19
10,5
11,29
12,33
13,35
14,35
15,5
16,37
17,37
18,37
19,34
20,37
21,38
22,5
23,39
24,19
25,5
26,29
27,31
28,31
29,33
30,34
31,33
32,30
33,5
34,33
35,5
36,32
37,5
38,32
39,5
40,37
41,22
42,5
43,31
44,5
45,33
46,33
47,33
48,32
49,32
50,5
51,34
52,5
53,37
54,37
55,39
56,5
57,36
58,5
59,22
60,5
61,28
62,5
63,33
64,35
65,5
66,38
67,32
68,32
69,5
70,35
71,37
72,37
73,37
74,40
75,22
76,31
77,28
78,5
79,30
80,5
81,35
82,33
83,35
84,35
85,32
86,35
87,32
88,5
89,32
90,5
91,25
92,26
93,5
94,28
95,5
96,33
97,33
98,35
99,22
100,5
101,30
102,33
103,33
104,33
105,35
106,30
107,5
108,31
109,32
110,5
111,35
112,32
113,35
114,22
115,28
116,31
117,33
118,33
119,35
120,35
121,35
122,32
123,32
124,5
125,38
126,35
127,22
128,33
129,33
130,32
131,5
132,38
133,35
134,35
135,35
136,32
137,5
138,35
139,37
140,37
141,22
142,31
143,31
144,33
145,35
146,35
147,35
148,35
149,38
150,35
151,32
152,5
153,40
154,22
155,31
156,34
157,33
158,36
159,35
160,35
161,35
162,35
163,5
164,38
165,38
166,35
167,25
168,28
169,34
170,33
171,35
172,38
173,35
174,35
175,32
176,5
177,38
178,38
179,35
180,25
181,28
182,31
183,34
184,31
185,31
186,34
187,31
188,31
189,36
190,33
191,33
192,24
193,5
194,31
195,31
196,36
197,39
198,32
199,5
200,35
201,38
202,35
203,38
204,35
205,5
206,32
207,24
208,5
209,29
210,29
211,29
212,32
213,34
214,36
215,35
216,5
217,32
218,35
219,35
220,35
221,26
222,5
223,31
224,29
225,33
226,35
227,37
228,35
229,38
230,35
231,35
232,38
233,38
234,27
235,29
236,31
237,31
238,33
239,33
240,35
241,35
242,32
243,35
244,5
245,35
246,5
247,38
