Time,[Lcom.sun.xml.ws.client.sei.ValueGetter; Data
0,3141
1,6595
2,6595
3,6595
4,6595
5,6595
6,6595
7,6595
8,6595
9,6595
10,6595
11,6595
12,6595
13,6595
14,6595
15,6595
16,6595
17,6595
18,6595
19,6595
20,6595
21,6595
22,6595
23,6595
24,6595
25,6595
26,6595
27,6595
28,6595
29,6595
30,6595
31,6595
32,6595
33,6595
34,6595
35,6595
36,6595
37,6595
38,6595
39,6595
40,6595
41,6595
42,6595
43,6595
44,6595
45,6595
46,6595
47,6595
48,6595
49,6595
50,6595
51,6595
52,6595
53,6595
54,6595
55,6595
56,6595
57,6595
58,6595
59,6595
60,6595
61,6595
62,6595
63,6595
64,6595
65,6595
66,6595
67,6595
68,6595
69,6595
70,6595
71,6595
72,6595
73,6595
74,6595
75,6595
76,6595
77,6595
78,6595
79,6595
80,6595
81,6595
82,6595
83,6595
84,6595
85,6595
86,6595
87,6595
88,6595
89,6595
90,6595
91,6595
92,6595
93,6595
94,6595
95,6595
96,6595
97,6595
98,6595
99,6595
100,6595
101,6595
102,6595
103,6595
104,6595
105,6595
106,6595
107,6595
108,6595
109,6595
110,6595
111,6595
112,6595
113,6595
114,6595
115,6595
116,6595
117,6595
118,6595
119,6595
120,6595
121,6595
122,6595
123,6595
124,6595
125,6595
126,6595
127,6595
128,6595
129,6595
130,6595
131,6595
132,6595
133,6595
134,6595
135,6595
136,6595
137,6595
138,6595
139,6595
140,6595
141,6595
142,6595
143,6595
144,6595
145,6595
146,6595
147,6595
148,6595
149,6595
150,6595
151,6595
152,6595
153,6595
154,6595
155,6595
156,6595
157,6595
158,6595
159,6595
160,6595
161,6595
162,6595
163,6595
164,6595
165,6595
166,6595
167,6595
168,6595
169,6595
170,6595
171,6595
172,6595
173,6595
174,6595
175,6595
176,6595
177,6595
178,6595
179,6595
180,6595
181,6595
182,6595
183,6595
184,6595
185,6595
186,6595
187,6595
188,6595
189,6595
190,6595
191,6595
192,6595
193,6595
194,6595
195,6595
196,6595
197,6595
198,6595
199,6595
200,6595
201,6595
202,6595
203,6595
204,6595
205,6595
