Time,[Ljava.lang.annotation.Annotation; Data
0,9255
1,17917
2,17842
3,17908
4,17898
5,17600
6,17952
7,17924
8,17579
9,17930
10,17684
11,17737
12,17607
13,17917
14,17943
15,17647
16,17931
17,17747
18,17600
19,17887
20,17600
21,17847
22,17924
23,17887
24,17926
25,18133
26,18141
27,17572
28,17608
29,17583
30,17651
31,17982
32,17621
33,17626
34,17957
35,17945
36,17938
37,17897
38,17621
39,17588
40,18174
41,17859
42,17635
43,17808
44,17646
45,17581
46,17985
47,17607
48,18004
49,17910
50,17579
51,17952
52,17682
53,17738
54,17805
55,18119
56,17959
57,17847
58,17579
59,17593
60,17959
61,17824
62,17871
63,17982
64,17894
65,17745
66,17572
67,17588
68,17966
69,17790
70,17602
71,17908
72,18036
73,17980
74,17631
75,17710
76,17861
77,17954
78,18048
79,18015
80,17593
81,17680
82,17609
83,17854
84,17924
85,17873
86,17719
87,17924
88,17684
89,17929
90,17931
91,17664
92,17656
93,17893
94,17669
95,17593
96,18281
97,18248
98,17938
99,17924
100,17898
101,17586
102,18227
103,18001
104,17677
105,17783
106,17579
107,17943
108,17717
109,17810
110,17952
111,17914
112,17817
113,17994
114,17922
115,17801
116,18231
117,17859
118,18299
119,17992
120,17614
121,18220
122,18092
123,17866
124,18244
125,18157
126,18316
127,17966
128,17689
129,17940
130,17614
131,18197
132,18337
133,17959
134,18297
135,17835
136,18039
137,17696
138,18024
139,18100
140,17917
141,18279
142,17623
143,17988
144,18163
145,17873
146,18304
147,17707
148,17973
149,18325
150,17917
151,17980
152,18325
153,17917
154,17954
155,18306
156,17691
157,17745
158,17579
159,17891
160,17747
161,18089
162,18363
163,17593
164,17717
165,18188
166,18178
167,18242
168,17624
169,17879
170,17579
171,17698
172,18159
173,17966
174,18071
175,18342
176,18327
177,17624
178,17880
179,17729
180,17938
181,18047
182,17600
183,17831
184,17905
185,17887
186,17940
187,17985
188,17931
189,18004
190,18260
191,18001
192,18090
193,18283
194,17868
195,17926
196,17947
197,17879
198,17910
199,17941
200,17677
201,17712
202,17805
203,17652
204,17628
205,18367
