Time,[Ljava.lang.reflect.Field; Data
0,2595
1,2891
2,2685
3,2858
4,2854
5,2564
6,2893
7,2871
8,721
9,1045
10,922
11,960
12,747
13,1040
14,1055
15,876
16,1048
17,967
18,736
19,1013
20,149
21,414
22,458
23,363
24,459
25,577
26,556
27,129
28,153
29,287
30,185
31,499
32,164
33,231
34,481
35,473
36,468
37,441
38,164
39,140
40,726
41,343
42,316
43,234
44,181
45,135
46,562
47,162
48,579
49,448
50,134
51,478
52,333
53,373
54,244
55,567
56,483
57,415
58,134
59,144
60,483
61,383
62,353
63,499
64,429
65,378
66,201
67,140
68,490
69,297
70,150
71,443
72,665
73,498
74,223
75,358
76,426
77,479
78,672
79,523
80,144
81,332
82,155
83,419
84,456
85,353
86,365
87,456
88,351
89,456
90,463
91,196
92,331
93,431
94,328
95,144
96,785
97,765
98,468
99,458
100,439
101,139
102,763
103,655
104,346
105,245
106,134
107,467
108,359
109,309
110,478
111,446
112,314
113,508
114,451
115,235
116,755
117,343
118,803
119,648
120,159
121,758
122,707
123,349
124,791
125,571
126,810
127,488
128,338
129,469
130,159
131,662
132,825
133,483
134,802
135,269
136,604
137,343
138,664
139,726
140,453
141,790
142,165
143,500
144,754
145,353
146,807
147,354
148,493
149,822
150,453
151,498
152,822
153,453
154,479
155,808
156,345
157,379
158,134
159,434
160,380
161,702
162,841
163,144
164,359
165,585
166,586
167,749
168,230
169,398
170,134
171,350
172,640
173,488
174,689
175,896
176,823
177,230
178,426
179,366
180,468
181,672
182,149
183,324
184,444
185,363
186,469
187,565
188,463
189,579
190,770
191,513
192,702
193,792
194,431
195,459
196,474
197,436
198,448
199,471
200,346
201,360
202,242
203,178
204,311
205,852
