Time,[Ljava.lang.reflect.Method; Data
0,5158
1,5266
2,5206
3,5258
4,5246
5,5029
6,5294
7,5270
8,1036
9,1301
10,1118
11,1166
12,1060
13,1289
14,1313
15,1097
16,1301
17,1172
18,1054
19,1265
20,458
21,654
22,706
23,685
24,706
25,874
26,865
27,441
28,465
29,447
30,509
31,756
32,485
33,492
34,738
35,726
36,720
37,690
38,485
39,455
40,898
41,663
42,498
43,621
44,494
45,440
46,755
47,465
48,773
49,688
50,441
51,724
52,523
53,571
54,606
55,856
56,730
57,643
58,441
59,453
60,730
61,625
62,667
63,748
64,676
65,577
66,435
67,447
68,736
69,601
70,459
71,688
72,794
73,748
74,490
75,547
76,655
77,724
78,800
79,778
80,453
81,523
82,465
83,649
84,700
85,667
86,552
87,699
88,531
89,705
90,705
91,506
92,507
93,675
94,516
95,452
96,970
97,940
98,711
99,699
100,675
101,446
102,931
103,766
104,525
105,615
106,440
107,717
108,552
109,612
110,723
111,693
112,618
113,759
114,699
115,593
116,934
117,654
118,982
119,760
120,470
121,925
122,835
123,660
124,961
125,870
126,1000
127,735
128,528
129,711
130,470
131,907
132,1018
133,729
134,982
135,629
136,802
137,534
138,774
139,841
140,693
141,970
142,476
143,747
144,889
145,666
146,988
147,540
148,741
149,1006
150,693
151,747
152,1006
153,693
154,723
155,988
156,529
157,577
158,441
159,670
160,577
161,836
162,1044
163,453
164,553
165,902
166,889
167,958
168,484
169,657
170,440
171,534
172,883
173,735
174,817
175,1025
176,1006
177,483
178,663
179,564
180,711
181,799
182,458
183,630
184,681
185,678
186,711
187,754
188,705
189,772
190,952
191,765
192,835
193,970
194,660
195,699
196,717
197,672
198,687
199,711
200,525
201,547
202,606
203,508
204,484
205,1043
