Time,[Ljava.util.Map; Data
0,89
1,135
2,144
3,111
4,116
5,175
6,143
7,140
8,123
9,135
10,167
11,83
12,151
13,144
14,135
15,143
16,172
17,163
18,223
19,203
20,99
21,231
22,79
23,192
24,183
25,159
26,133
27,79
28,247
29,139
30,103
31,207
32,231
33,127
34,191
35,123
36,83
37,226
38,199
39,119
40,199
41,95
42,155
43,246
44,131
45,207
46,62
47,118
48,203
49,239
50,151
51,198
52,211
53,279
54,69
55,143
56,143
57,155
58,115
59,159
60,139
61,151
62,151
63,135
64,107
65,287
66,263
67,175
68,143
69,114
70,303
71,235
72,131
73,167
74,99
75,191
76,135
77,83
78,239
79,143
80,240
81,140
82,319
83,227
84,71
85,295
86,275
87,159
88,303
89,235
90,343
91,207
92,180
93,71
94,259
95,367
96,199
97,319
98,147
99,294
100,211
101,299
102,135
103,303
104,85
105,223
106,363
107,155
108,327
109,215
110,351
111,135
112,223
113,351
114,135
115,199
116,343
117,131
118,110
119,136
120,275
121,383
122,99
123,251
124,259
125,299
126,111
127,227
128,207
129,247
130,367
131,374
132,115
133,159
134,211
135,100
136,125
137,171
138,181
139,215
140,167
141,231
142,263
143,263
144,259
145,303
146,159
147,166
148,189
149,167
150,143
151,183
152,131
153,83
154,87
155,415
