Time,[Ljava.util.concurrent.ConcurrentHashMap$HashEntry; Data
0,2468
1,2843
2,2759
3,2758
4,2790
5,2502
6,2898
7,2852
8,2386
9,2786
10,2650
11,2724
12,2521
13,2837
14,2830
15,2606
16,2855
17,2799
18,2452
19,2691
20,2423
21,2647
22,2847
23,2733
24,2870
25,2990
26,2881
27,2434
28,2482
29,2478
30,2578
31,2968
32,2502
33,2522
34,2899
35,2898
36,2850
37,2799
38,2538
39,2446
40,3002
41,2714
42,2538
43,2536
44,2551
45,2431
46,2973
47,2524
48,3007
49,2822
50,2423
51,2886
52,2635
53,2780
54,2530
55,2978
56,2881
57,2609
58,2428
59,2480
60,2946
61,2586
62,2690
63,3007
64,2728
65,2797
66,2463
67,2491
68,2893
69,2500
70,2520
71,2756
72,3036
73,3008
74,2481
75,2755
76,2689
77,2909
78,3104
79,3055
80,2440
81,2622
82,2523
83,2727
84,2838
85,2677
86,2751
87,2837
88,2648
89,2813
90,2814
91,2635
92,2664
93,2662
94,2623
95,2442
96,3218
97,3207
98,2852
99,2818
100,2779
101,2440
102,3090
103,3131
104,2653
105,2686
106,2428
107,2831
108,2741
109,2540
110,2875
111,2779
112,2567
113,2989
114,2792
115,2517
116,3131
117,2674
118,3302
119,3066
120,2532
121,3119
122,3192
123,2737
124,3261
125,2968
126,3319
127,2928
128,2651
129,2882
130,2528
131,3088
132,3371
133,2948
134,3259
135,2650
136,3119
137,2662
138,3076
139,3296
140,2809
141,3299
142,2556
143,2979
144,3413
145,2711
146,3280
147,2745
148,2975
149,3371
150,2838
151,2985
152,3371
153,2806
154,2917
155,3362
156,2697
157,2797
158,2451
159,2768
160,2807
161,3165
162,3448
163,2450
164,2741
165,3015
166,3038
167,3295
168,2510
169,2757
170,2451
171,2681
172,2976
173,2959
174,3158
175,3437
176,3414
177,2510
178,2739
179,2667
180,2869
181,3048
182,2482
183,2588
184,2791
185,2730
186,2897
187,2982
188,2835
189,3008
190,3171
191,3040
192,3177
193,3309
194,2703
195,2876
196,2921
197,2726
198,2825
199,2908
200,2716
201,2734
202,2557
203,2585
204,2586
205,3504
