Time,[Ljava.util.concurrent.ConcurrentHashMap$Segment; Data
0,654
1,832
2,770
3,792
4,803
5,633
6,869
7,839
8,591
9,828
10,742
11,783
12,656
13,842
14,850
15,717
16,856
17,827
18,626
19,772
20,614
21,747
22,849
23,795
24,858
25,947
26,882
27,603
28,650
29,635
30,698
31,919
32,653
33,674
34,879
35,877
36,855
37,813
38,667
39,618
40,952
41,778
42,684
43,672
44,687
45,610
46,933
47,658
48,951
49,833
50,605
51,876
52,734
53,813
54,670
55,938
56,877
57,730
58,606
59,634
60,903
61,711
62,768
63,936
64,786
65,822
66,628
67,636
68,884
69,659
70,653
71,805
72,958
73,934
74,656
75,787
76,771
77,885
78,1001
79,966
80,616
81,728
82,656
83,778
84,845
85,767
86,798
87,849
88,752
89,838
90,841
91,739
92,746
93,762
94,718
95,620
96,1077
97,1060
98,856
99,836
100,811
101,614
102,1013
103,1013
104,747
105,748
106,606
107,850
108,789
109,686
110,870
111,815
112,700
113,933
114,826
115,675
116,1013
117,761
118,1118
119,970
120,662
121,1016
122,1058
123,790
124,1097
125,922
126,1129
127,898
128,742
129,870
130,660
131,994
132,1157
133,903
134,1099
135,731
136,1011
137,749
138,980
139,1103
140,829
141,1102
142,675
143,936
144,1183
145,778
146,1108
147,788
148,920
149,1156
150,842
151,927
152,1156
153,829
154,889
155,1144
156,765
157,822
158,617
159,804
160,829
161,1037
162,1199
163,621
164,789
165,955
166,959
167,1103
168,665
169,790
170,617
171,761
172,927
173,910
174,1035
175,1193
176,1170
177,665
178,785
179,751
180,863
181,974
182,634
183,714
184,818
185,792
186,874
187,938
188,850
189,951
190,1049
191,955
192,1049
193,1112
194,779
195,862
196,887
197,791
198,836
199,881
200,773
201,790
202,684
203,700
204,702
205,1226
