Time,[Lorg.apache.hadoop.hdfs.protocol.DatanodeInfo; Data
0,260
1,288
2,265
3,229
4,263
5,275
6,274
7,261
8,268
9,272
10,313
11,294
12,318
13,296
14,285
15,247
16,252
17,377
18,367
19,385
20,257
21,260
22,254
23,308
24,295
25,335
26,357
27,262
28,300
29,415
30,355
31,215
32,295
33,446
34,383
35,268
36,244
37,270
38,264
39,166
40,491
41,469
42,280
43,415
44,453
45,274
46,236
47,290
48,251
49,332
50,256
51,457
52,514
53,390
54,421
55,483
56,501
57,313
58,558
59,300
60,285
61,407
62,576
63,335
64,509
65,455
66,179
67,439
68,536
69,539
70,313
71,579
72,517
73,200
74,348
75,572
76,263
77,353
78,572
79,295
80,561
81,262
82,264
83,489
84,593
85,236
86,330
87,372
88,536
89,372
90,341
91,465
92,641
93,582
94,214
95,278
96,414
97,285
98,367
99,266
100,385
101,470
102,370
103,478
104,538
105,272
106,293
107,254
108,285
109,652
