Time,[Lorg.apache.hadoop.hdfs.protocol.datatransfer.ReplaceDatanodeOnFailure$Policy; Data
0,381
1,325
2,293
3,329
4,405
5,385
6,321
7,265
8,245
9,385
10,377
11,153
12,393
13,377
14,273
15,161
16,389
17,193
18,405
19,449
20,405
21,453
22,421
23,421
24,365
25,393
26,489
27,233
28,117
29,453
30,469
31,377
32,393
33,245
34,353
35,449
36,429
37,473
38,173
39,509
40,285
41,365
42,81
43,433
44,93
45,309
46,549
47,513
48,329
49,181
50,429
51,661
52,537
53,245
54,97
55,249
56,389
57,165
58,369
59,409
60,169
61,369
62,349
63,169
64,229
65,229
66,265
67,713
68,721
69,417
70,345
71,329
72,521
73,669
74,165
75,293
76,377
77,333
78,425
79,353
80,469
81,357
82,693
83,173
84,757
85,561
86,97
87,533
88,721
89,257
90,741
91,453
92,797
93,433
94,253
95,421
96,513
97,817
98,473
99,757
100,173
101,573
102,257
103,653
104,801
105,341
106,797
107,109
108,445
109,841
110,173
111,769
112,313
113,489
114,825
115,385
116,493
117,825
118,341
119,429
120,825
121,289
122,365
123,321
124,381
125,645
126,861
127,333
128,481
129,521
130,801
131,349
132,277
133,473
134,477
135,697
136,865
137,857
138,309
139,173
140,397
141,553
142,333
143,181
144,421
145,465
146,393
147,469
148,689
149,525
150,689
151,797
152,181
153,405
154,429
155,193
156,385
157,421
158,241
159,301
160,141
161,929
