Time,[Lorg.codehaus.groovy.reflection.CachedClass; Data
0,586
1,586
2,586
3,586
4,586
5,586
6,586
7,586
8,343
9,343
10,343
11,343
12,343
13,343
14,343
15,343
16,343
17,343
18,343
19,343
20,343
21,343
22,343
23,343
24,343
25,343
26,343
27,343
28,343
29,343
30,343
31,343
32,343
33,343
34,343
35,343
36,343
37,343
38,343
39,343
40,343
41,343
42,343
43,343
44,343
45,343
46,343
47,343
48,343
49,343
50,343
51,343
52,343
53,343
54,343
55,343
56,343
57,343
58,343
59,343
60,343
61,343
62,343
63,343
64,343
65,343
66,343
67,343
68,343
69,343
70,343
71,343
72,343
73,343
74,343
75,343
76,343
77,343
78,343
79,343
80,343
81,343
82,343
83,343
84,343
85,343
86,343
87,343
88,343
89,343
90,343
91,343
92,343
93,343
94,343
95,343
96,343
97,343
98,343
99,343
100,343
101,343
102,343
103,343
104,343
105,343
106,343
107,343
108,343
109,343
110,343
111,343
112,343
113,343
114,343
115,343
116,343
117,343
118,343
119,343
120,343
121,343
122,343
123,343
124,343
125,343
126,343
127,343
128,343
129,343
130,343
131,343
132,343
133,343
134,343
135,343
136,343
137,343
138,343
139,343
140,343
141,343
142,343
143,343
144,343
145,343
146,343
147,343
148,343
149,343
150,343
151,343
152,343
153,343
154,343
155,343
156,343
157,343
158,343
159,343
160,343
161,343
162,343
163,343
164,343
165,343
166,343
167,343
168,343
169,343
170,343
171,343
172,343
173,343
174,343
175,343
176,343
177,343
178,343
179,343
180,343
181,343
182,343
183,343
184,343
185,343
186,343
187,343
188,343
189,343
190,343
191,343
192,343
193,343
194,343
195,343
196,343
197,343
198,343
199,343
200,343
201,343
202,343
203,343
204,343
205,343
