Time,[Lorg.codehaus.jackson.sym.Name; Data
0,16
1,26
2,22
3,23
4,24
5,11
6,31
7,27
8,8
9,28
10,17
11,24
12,14
13,27
14,29
15,20
16,29
17,26
18,12
19,21
20,11
21,24
22,28
23,30
24,29
25,43
26,33
27,8
28,17
29,10
30,20
31,37
32,14
33,17
34,31
35,31
36,30
37,22
38,15
39,11
40,39
41,26
42,18
43,18
44,19
45,10
46,38
47,14
48,40
49,26
50,9
51,32
52,16
53,24
54,17
55,41
56,32
57,24
58,9
59,11
60,33
61,21
62,27
63,37
64,22
65,25
66,11
67,33
68,14
69,13
70,25
71,35
72,36
73,16
74,21
75,27
76,33
77,38
78,41
79,11
80,16
81,14
82,25
83,28
84,28
85,23
86,29
87,26
88,28
89,30
90,26
91,22
92,23
93,12
94,48
95,45
96,29
97,28
98,25
99,10
100,48
101,41
102,24
103,21
104,9
105,29
106,21
107,19
108,31
109,25
110,20
111,38
112,26
113,20
114,38
115,26
116,52
117,38
118,14
119,47
120,45
121,27
122,50
123,37
124,52
125,34
126,17
127,31
128,14
129,44
130,55
131,33
132,50
133,22
134,45
135,18
136,34
137,48
138,27
139,47
140,16
141,41
142,60
143,28
144,51
145,22
146,35
147,55
148,27
149,36
150,55
151,27
152,33
153,53
154,20
155,25
156,9
157,24
158,26
159,44
160,61
161,11
162,21
163,42
164,40
165,48
166,16
167,21
168,9
169,20
170,35
171,34
172,42
173,58
174,56
175,16
176,21
177,23
178,30
179,38
180,12
181,22
182,26
183,30
184,31
185,38
186,29
187,40
188,44
189,39
190,44
191,49
192,29
193,30
194,33
195,30
196,27
197,32
198,25
199,24
200,18
201,21
202,18
203,62
