Time,[Lorg.hibernate.LockMode; Data
0,1926
1,183
2,2026
3,2066
4,2116
5,2164
6,2204
7,183
8,2256
9,2303
10,2141
11,183
12,2193
13,2243
14,183
15,2283
16,2333
17,183
18,2383
19,2423
20,2473
21,183
22,2520
23,2563
24,2613
25,183
26,2663
27,2244
28,183
29,2296
30,2346
31,2386
32,2436
33,2486
34,2533
35,2574
36,183
37,2626
38,183
39,2666
40,183
41,2686
42,183
43,2736
44,2225
45,183
46,2275
47,183
48,2315
49,2365
50,2415
51,2462
52,2505
53,183
54,2555
55,183
56,2604
57,2645
58,2695
59,183
60,2742
61,183
62,2244
63,183
64,2292
65,183
66,2343
67,2384
68,183
69,2436
70,2482
71,2522
72,183
73,2574
74,2624
75,183
76,2664
77,2714
78,183
79,2766
80,2235
81,2285
82,2333
83,183
84,2373
85,183
86,2425
87,2473
88,183
89,2522
90,2565
91,2612
92,2655
93,2702
94,183
95,2743
96,183
97,2247
98,2292
99,183
100,2333
101,183
102,2385
103,2434
104,2475
105,2218
106,183
107,2258
108,2308
109,2358
110,2407
111,2450
112,2496
113,183
114,2546
115,183
116,2586
117,183
118,2638
119,2685
120,2728
121,2220
122,2267
123,2310
124,2360
125,2410
126,2450
127,183
128,2500
129,183
130,2550
131,2590
132,183
133,2638
134,183
135,2692
136,2739
137,2234
138,2284
139,2332
140,2372
141,183
142,2426
143,2473
144,2514
145,2564
146,2614
147,183
148,2654
149,2704
150,2754
151,183
152,2228
153,2278
154,2328
155,183
156,2368
157,2418
158,2468
159,183
160,2517
161,2558
162,2610
163,2650
164,2696
165,183
166,2750
167,2230
168,2278
169,2330
170,2377
171,2420
172,2468
173,2518
174,183
175,2558
176,2608
177,183
178,2660
179,2700
180,2748
181,2237
182,2281
183,2327
184,2375
185,183
186,2424
187,2467
188,2515
189,2564
190,2605
191,183
192,2657
193,2699
194,2745
195,2247
196,2285
197,183
198,2335
199,2387
200,2435
201,2475
202,2527
203,2575
204,2615
205,2667
206,2715
207,2755
208,2236
209,183
210,2288
211,2328
212,2380
213,2432
214,2466
215,183
216,2518
217,2570
218,2615
219,2660
220,2708
221,183
222,2755
223,2236
224,183
225,2288
226,183
227,2337
228,2378
229,2430
230,2479
231,2520
232,2568
233,183
234,2615
235,2658
236,2708
237,2758
238,2233
239,183
240,2285
241,183
242,2333
243,2375
244,2425
245,2477
246,2515
247,2567
248,2614
249,2657
250,2707
251,2757
252,2237
253,2287
254,2339
255,2377
256,2427
257,2477
258,2517
259,2567
260,2613
261,183
262,2657
263,183
264,2707
265,183
266,2749
