Time,[Lorg.hibernate.engine.query.OrdinalParameterDescriptor; Data
0,437
1,556
2,588
3,645
4,701
5,734
6,800
7,853
8,666
9,731
10,779
11,822
12,878
13,941
14,984
15,1030
16,1093
17,1132
18,1183
19,1247
20,783
21,846
22,904
23,945
24,1003
25,1066
26,1115
27,1146
28,1204
29,1248
30,1270
31,1333
32,759
33,815
34,869
35,924
36,979
37,1032
38,1067
39,1122
40,1194
41,1229
42,1277
43,1337
44,781
45,835
46,900
47,938
48,1001
49,1055
50,1088
51,1154
52,1200
53,1244
54,1305
55,1371
56,782
57,834
58,881
59,925
60,991
61,1043
62,1094
63,1145
64,1196
65,1235
66,1287
67,1332
68,794
69,843
70,881
71,946
72,1002
73,1046
74,754
75,803
76,860
77,918
78,974
79,1017
80,1061
81,1118
82,1160
83,1223
84,1279
85,1322
86,759
87,819
88,855
89,918
90,975
91,1011
92,1064
93,1127
94,1167
95,1217
96,1292
97,1347
98,780
99,835
100,890
101,923
102,997
103,1043
104,1078
105,1140
106,1187
107,1241
108,1289
109,1349
110,774
111,827
112,881
113,928
114,981
115,1035
116,1101
117,1134
118,1203
119,1239
120,1280
121,1354
122,780
123,826
124,895
125,945
126,992
127,1038
128,1084
129,1137
130,1181
131,1255
132,1300
133,1346
134,793
135,833
136,882
137,927
138,992
139,1045
140,1090
141,1154
142,1178
143,1246
144,1295
145,1340
146,804
147,832
148,892
149,958
150,1002
151,1046
152,1112
153,1156
154,1200
155,1266
156,1303
157,1346
158,774
159,840
160,876
161,941
162,1006
163,1027
164,1085
165,1156
166,1206
167,1258
168,1292
169,1355
170,774
171,833
172,901
173,939
174,997
175,1059
176,1104
177,1138
178,1201
179,1237
180,1302
181,1359
182,771
183,834
184,892
185,933
186,991
187,1047
188,1090
189,1146
190,1208
191,1244
192,1301
193,1365
194,781
195,839
196,894
197,935
198,993
199,1048
200,1082
201,1140
202,1195
203,1236
204,1291
205,1356
