Time,[Lorg.hibernate.jdbc.Expectation; Data
0,85
1,75
2,349
3,75
4,165
5,75
6,319
7,75
8,296
9,75
10,25
11,369
12,75
13,314
14,75
15,9
16,344
17,75
18,253
19,268
20,86
21,73
22,348
23,75
24,343
25,75
26,76
27,321
28,75
29,307
30,53
31,288
32,75
33,21
34,138
35,75
36,347
37,75
38,167
39,75
40,357
41,75
42,449
43,150
44,406
45,150
46,2
47,78
48,72
49,6
50,60
51,401
52,75
53,72
54,64
55,355
56,75
57,367
58,75
59,358
60,75
61,293
62,75
63,67
64,51
65,425
66,150
67,138
68,75
69,186
70,64
71,93
72,6
73,370
74,75
75,94
76,74
77,433
78,75
79,306
80,75
81,3
82,368
83,75
84,233
85,278
86,123
87,75
88,468
89,150
90,375
91,75
92,271
93,75
94,4
95,18
96,377
97,75
98,85
99,75
100,157
101,75
102,398
103,75
104,253
105,75
106,278
107,1
108,14
109,419
110,75
111,53
112,75
113,24
114,326
115,75
116,534
117,75
118,389
119,75
120,65
121,244
122,285
123,75
124,370
125,75
126,567
127,452
128,26
129,191
130,34
131,241
132,75
133,312
134,75
135,150
136,75
137,284
138,312
139,77
140,204
141,322
142,77
143,354
144,77
145,120
146,192
147,287
148,77
149,203
150,17
151,669
152,152
153,636
154,152
155,358
156,75
157,350
158,75
159,298
160,75
161,15
162,629
163,150
164,534
165,206
166,123
167,75
168,41
169,333
170,75
171,258
172,106
173,75
174,367
175,75
176,304
177,75
178,106
179,75
180,401
181,75
182,315
183,75
184,116
185,75
186,620
187,150
188,142
189,75
190,722
191,150
192,411
193,32
194,623
195,150
196,611
197,149
198,75
199,707
200,150
201,436
202,150
203,695
204,150
205,374
206,75
207,233
208,360
209,75
210,66
211,479
212,150
213,712
214,150
215,377
216,75
217,711
218,150
219,134
220,75
221,462
222,243
223,553
224,705
225,150
226,347
227,75
228,667
229,150
230,76
231,438
232,145
233,704
234,100
235,151
236,75
237,721
238,150
239,240
240,389
241,75
242,733
243,150
244,345
245,75
246,389
247,75
248,733
249,150
250,339
251,75
252,371
253,75
254,714
255,150
256,270
257,66
258,282
259,7
260,325
261,75
262,303
263,597
264,786
265,150
266,14
267,258
268,472
269,150
270,450
271,150
272,711
273,150
274,64
275,294
276,75
277,10
278,271
279,417
280,150
281,379
282,75
283,637
284,732
285,150
286,740
287,150
288,64
289,278
290,75
291,242
292,359
293,75
294,551
295,25
296,118
297,75
298,306
299,75
300,167
301,75
302,367
303,75
304,402
305,75
306,347
307,75
308,430
309,75
310,624
311,150
312,440
313,619
314,704
315,150
316,294
317,75
318,357
319,75
320,408
321,75
322,284
323,75
324,336
325,75
326,366
327,75
328,215
329,283
330,85
331,75
332,84
333,85
334,773
335,150
