Time,[Lorg.hibernate.type.EntityType; Data
0,1926
1,183
2,2025
3,2065
4,2115
5,2164
6,2204
7,183
8,2255
9,2303
10,2141
11,183
12,2192
13,2242
14,183
15,2282
16,2332
17,183
18,2382
19,2422
20,2472
21,183
22,2520
23,2562
24,2612
25,183
26,2662
27,2244
28,183
29,2295
30,2345
31,2385
32,2435
33,2485
34,2532
35,2574
36,183
37,2625
38,183
39,2666
40,183
41,2686
42,183
43,2735
44,2224
45,183
46,2274
47,183
48,2314
49,2364
50,2414
51,2462
52,2504
53,183
54,2554
55,183
56,2603
57,2644
58,2694
59,183
60,2742
61,183
62,2243
63,183
64,2292
65,183
66,2342
67,2383
68,183
69,2434
70,2482
71,2522
72,183
73,2573
74,2623
75,183
76,2663
77,2713
78,183
79,2764
80,2234
81,2284
82,2333
83,183
84,2373
85,183
86,2424
87,2473
88,183
89,2521
90,2564
91,2612
92,2654
93,2702
94,183
95,2743
96,183
97,2245
98,2292
99,183
100,2333
101,183
102,2384
103,2433
104,2474
105,2217
106,183
107,2258
108,2307
109,2357
110,2406
111,2448
112,2496
113,183
114,2546
115,183
116,2586
117,183
118,2637
119,2685
120,2727
121,2219
122,2267
123,2309
124,2359
125,2409
126,2449
127,183
128,2499
129,183
130,2549
131,2590
132,183
133,2638
134,183
135,2690
136,2738
137,2233
138,2283
139,2332
140,2372
141,183
142,2424
143,2472
144,2513
145,2563
146,2613
147,183
148,2653
149,2703
150,2753
151,183
152,2227
153,2277
154,2327
155,183
156,2367
157,2417
158,2467
159,183
160,2516
161,2557
162,2608
163,2649
164,2696
165,183
166,2748
167,2229
168,2277
169,2328
170,2376
171,2418
172,2467
173,2517
174,183
175,2557
176,2607
177,183
178,2658
179,2698
180,2747
181,2235
182,2281
183,2325
184,2374
185,183
186,2423
187,2465
188,2514
189,2563
190,2604
191,183
192,2655
193,2697
194,2744
195,2245
196,2285
197,183
198,2334
199,2385
200,2434
201,2474
202,2525
203,2574
204,2614
205,2665
206,2714
207,2754
208,2236
209,183
210,2287
211,2327
212,2378
213,2429
214,2466
215,183
216,2517
217,2568
218,2614
219,2658
220,2707
221,183
222,2755
223,2236
224,183
225,2287
226,183
227,2336
228,2377
229,2428
230,2477
231,2518
232,2567
233,183
234,2615
235,2657
236,2707
237,2757
238,2233
239,183
240,2284
241,183
242,2333
243,2374
244,2424
245,2475
246,2514
247,2565
248,2613
249,2655
250,2705
251,2755
252,2236
253,2286
254,2337
255,2376
256,2426
257,2476
258,2516
259,2566
260,2613
261,183
262,2656
263,183
264,2706
265,183
266,2747
