Time,[Lorg.springframework.http.HttpStatus; Data
0,31
1,58
2,46
3,49
4,52
5,13
6,73
7,61
8,61
9,28
10,49
11,19
12,58
13,64
14,37
15,64
16,55
17,13
18,40
19,13
20,49
21,61
22,67
23,64
24,104
25,76
26,28
27,37
28,88
29,22
30,28
31,73
32,70
33,67
34,43
35,22
36,10
37,94
38,55
39,31
40,28
41,37
42,91
43,19
44,97
45,55
46,73
47,25
48,49
49,28
50,100
51,76
52,49
53,10
54,76
55,40
56,58
57,88
58,43
59,52
60,10
61,79
62,19
63,16
64,50
65,82
66,85
67,28
68,40
69,58
70,76
71,91
72,100
73,10
74,22
75,19
76,52
77,61
78,61
79,49
80,61
81,52
82,58
83,64
84,55
85,40
86,43
87,10
88,118
89,109
90,67
91,61
92,52
93,121
94,100
95,49
96,40
97,64
98,40
99,34
100,73
101,52
102,37
103,91
104,55
105,37
106,89
107,55
108,133
109,91
110,19
111,118
112,115
113,58
114,127
115,88
116,133
117,79
118,28
119,70
120,19
121,109
122,142
123,76
124,130
125,46
126,112
127,31
128,76
129,121
130,58
131,118
132,25
133,100
134,157
135,61
136,133
137,43
138,82
139,142
140,58
141,85
142,142
143,58
144,76
145,136
146,37
147,52
148,49
149,55
150,109
151,160
152,10
153,40
154,103
155,97
156,121
157,25
158,40
159,37
160,82
161,79
162,103
163,151
164,145
165,25
166,40
167,46
168,67
169,91
170,13
171,43
172,55
173,67
174,70
175,91
176,64
177,97
178,109
179,94
180,109
181,124
182,61
183,64
184,73
185,61
186,55
187,70
188,49
189,46
190,28
191,37
192,28
193,160
