Time,[Z Data
0,16932
1,17788
2,17895
3,17762
4,17880
5,17122
6,18585
7,18391
8,16473
9,18008
10,17302
11,18021
12,17615
13,18368
14,18692
15,18073
16,18758
17,18779
18,17815
19,18515
20,16864
21,18120
22,18344
23,18603
24,18686
25,19465
26,19355
27,17444
28,18011
29,17848
30,18424
31,19844
32,17325
33,17429
34,18804
35,18859
36,18770
37,18757
38,18216
39,17733
40,20028
41,18861
42,18520
43,18401
44,17573
45,17281
46,19163
47,17859
48,19578
49,18621
50,17554
51,19348
52,18268
53,19006
54,18746
55,20279
56,18398
57,17961
58,17172
59,17243
60,19115
61,18129
62,18740
63,19616
64,18438
65,18838
66,17853
67,18199
68,18827
69,17767
70,17708
71,18518
72,19491
73,19691
74,17278
75,17907
76,18485
77,19016
78,19432
79,20037
80,17687
81,18080
82,18328
83,19092
84,19213
85,19365
86,17694
87,18584
88,18324
89,18560
90,18684
91,18582
92,18457
93,18478
94,18066
95,17922
96,20748
97,20633
98,18213
99,18221
100,18210
101,17330
102,20015
103,19535
104,18532
105,18292
106,17774
107,19150
108,18687
109,18557
110,18323
111,18105
112,17766
113,19181
114,18626
115,17962
116,19804
117,18812
118,20836
119,19927
120,18483
121,20869
122,19225
123,18598
124,20023
125,19475
126,20662
127,19423
128,18221
129,19375
130,18362
131,20274
132,21419
133,19925
134,19633
135,18313
136,19718
137,17844
138,19219
139,20263
140,18776
141,20467
142,18321
143,19828
144,21113
145,19349
146,19877
147,17890
148,19228
149,20699
150,18786
151,19575
152,20971
153,19049
154,19651
155,21182
156,18778
157,19205
158,17131
159,18254
160,18540
161,19846
162,21063
163,17725
164,18607
165,20075
166,20365
167,20861
168,18436
169,19236
170,17125
171,17949
172,19455
173,19231
174,19888
175,20989
176,21118
177,18242
178,18757
179,18986
180,19509
181,20142
182,17323
183,18115
184,18451
185,18729
186,19111
187,19503
188,19173
189,19993
190,20374
191,20271
192,20538
193,21187
194,18349
195,18557
196,18878
197,18713
198,18661
199,19238
200,18698
201,18517
202,18466
203,18607
204,18487
205,21784
