Time,[[B Data
0,1346
1,2898
2,1829
3,2638
4,2711
5,718
6,2901
7,2715
8,140
9,2629
10,1767
11,1494
12,1351
13,2642
14,2513
15,880
16,2502
17,1982
18,626
19,2291
20,163
21,1604
22,2630
23,1661
24,2685
25,3603
26,3415
27,467
28,1336
29,498
30,528
31,2723
32,594
33,971
34,2676
35,2982
36,3002
37,2995
38,1184
39,975
40,3927
41,1744
42,1570
43,1310
44,608
45,916
46,3138
47,1623
48,3322
49,2804
50,698
51,2952
52,1806
53,1886
54,1816
55,4043
56,2375
57,2047
58,741
59,545
60,2932
61,1510
62,1700
63,2838
64,2060
65,1611
66,697
67,727
68,3022
69,1872
70,1014
71,3084
72,3970
73,3234
74,843
75,2224
76,2488
77,3166
78,4245
79,3569
80,1010
81,1801
82,1222
83,2315
84,2976
85,2062
86,1664
87,2948
88,1429
89,2483
90,2911
91,1506
92,1414
93,2401
94,1842
95,730
96,4868
97,5050
98,2331
99,2707
100,2764
101,718
102,4243
103,3439
104,1267
105,1575
106,832
107,2424
108,1663
109,1565
110,2334
111,2248
112,1548
113,2791
114,2447
115,1560
116,4624
117,1728
118,5182
119,3171
120,857
121,4486
122,3786
123,2170
124,5157
125,3943
126,5037
127,3231
128,2025
129,3189
130,1169
131,4105
132,5005
133,3246
134,4533
135,2091
136,3208
137,1810
138,3783
139,5104
140,2902
141,4951
142,916
143,3617
144,4475
145,1857
146,4884
147,2194
148,3316
149,5510
150,3216
151,3312
152,5488
153,3182
154,3279
155,5437
156,2909
157,2071
158,1054
159,3205
160,2600
161,4047
162,5710
163,1093
164,2234
165,4183
166,4268
167,5538
168,1326
169,3089
170,973
171,2471
172,4130
173,3299
174,4717
175,5501
176,5455
177,1442
178,2968
179,1932
180,3254
181,3984
182,1021
183,2121
184,3110
185,2039
186,3260
187,3417
188,3208
189,3653
190,5038
191,3447
192,4361
193,5638
194,2406
195,3010
196,3183
197,2333
198,2981
199,3260
200,1639
201,2417
202,1772
203,1255
204,1332
205,5342
