Time,antlr.LexerSharedInputState Data
0,429
1,533
2,577
3,632
4,687
5,731
6,70
7,786
8,840
9,663
10,70
11,718
12,773
13,817
14,872
15,927
16,971
17,1026
18,1080
19,1125
20,1180
21,70
22,1235
23,780
24,70
25,835
26,890
27,934
28,989
29,1044
30,1095
31,1143
32,70
33,1198
34,1245
35,70
36,1267
37,1319
38,756
39,811
40,856
41,910
42,965
43,1019
44,1064
45,1119
46,70
47,1173
48,1218
49,1273
50,1327
51,777
52,832
53,70
54,886
55,931
56,986
57,1041
58,1085
59,70
60,1140
61,1195
62,1239
63,1294
64,1349
65,768
66,823
67,878
68,70
69,922
70,70
71,977
72,1032
73,1083
74,1131
75,1185
76,1230
77,1284
78,70
79,1329
80,70
81,779
82,833
83,878
84,933
85,987
86,1032
87,750
88,797
89,849
90,904
91,958
92,1003
93,1058
94,70
95,1113
96,1157
97,1212
98,1266
99,1311
100,752
101,806
102,851
103,906
104,961
105,1006
106,1060
107,1115
108,1162
109,1214
110,70
111,1269
112,1323
113,766
114,821
115,876
116,920
117,70
118,975
119,1029
120,1074
121,1129
122,1184
123,70
124,1228
125,1283
126,1338
127,760
128,815
129,870
130,914
131,969
132,1024
133,1078
134,1123
135,1178
136,1225
137,1277
138,1332
139,763
140,815
141,870
142,924
143,969
144,1024
145,1079
146,1123
147,1178
148,1233
149,1277
150,1332
151,768
152,821
153,867
154,922
155,976
156,1021
157,1076
158,1130
159,1175
160,1230
161,1277
162,1329
163,779
164,826
165,878
166,933
167,988
168,1032
169,1087
170,1142
171,1186
172,1241
173,1296
174,1340
175,771
176,70
177,826
178,870
179,925
180,980
181,1024
182,70
183,1079
184,1134
185,1185
186,1233
187,1288
188,1342
189,771
190,70
191,826
192,880
193,925
194,980
195,1034
196,1079
197,1134
198,1188
199,1233
200,1288
201,1343
202,768
203,70
204,823
205,878
206,922
207,977
208,1032
209,1076
210,1131
211,1185
212,1230
213,1285
214,1340
215,770
216,825
217,880
218,924
219,979
220,1034
221,1078
222,1133
223,1185
224,1232
225,1287
226,1331
