Time,com.dataguise.hibernate.DgRegexPatterns Data
0,156
1,156
2,156
3,156
4,156
5,156
6,156
7,84
8,156
9,156
10,156
11,156
12,84
13,156
14,156
15,156
16,72
17,156
18,72
19,36
20,156
21,87
22,156
23,156
24,156
25,158
26,56
27,156
28,156
29,156
30,156
31,84
32,84
33,156
34,156
35,56
36,156
37,156
38,84
39,84
40,156
41,156
42,236
43,156
44,156
45,56
46,156
47,240
48,156
49,84
50,156
51,156
52,156
53,84
54,156
55,72
56,84
57,156
58,240
59,312
60,156
61,156
62,156
63,212
64,212
65,84
66,84
67,156
68,84
69,156
70,84
71,312
72,312
73,182
74,212
75,312
76,312
77,156
78,72
79,240
80,156
81,84
82,156
83,156
84,240
85,156
86,312
87,72
88,156
89,84
90,240
91,312
92,156
93,312
94,156
95,312
96,312
97,156
98,156
99,312
100,156
101,156
102,312
103,156
104,156
105,312
106,156
107,84
108,156
109,156
110,212
111,312
112,84
113,156
114,156
115,312
116,156
117,156
118,156
119,156
120,312
121,312
122,312
123,156
124,56
125,156
126,240
127,156
128,156
129,156
130,156
131,156
132,240
133,156
134,240
135,312
136,56
137,156
138,156
139,56
140,156
141,156
142,156
143,312
