Time,com.dataguise.webservices.beans.masker.DgMaskerColumn Data
0,182
1,168
2,182
3,182
4,182
5,14
6,238
7,238
8,112
9,84
10,252
11,238
12,84
13,252
14,252
15,84
16,210
17,70
18,224
19,56
20,224
21,224
22,224
23,56
24,56
25,56
26,56
27,224
28,112
29,168
30,168
31,168
32,182
33,168
34,168
35,168
36,168
37,126
38,56
39,168
40,168
41,70
42,56
43,56
44,224
45,56
46,56
47,224
48,112
49,112
50,56
51,56
52,168
53,168
54,210
55,168
56,168
57,168
58,336
59,168
60,56
61,168
62,168
63,224
64,70
65,112
66,224
67,56
68,70
69,112
70,224
71,56
72,280
73,392
74,168
75,224
76,224
77,56
78,238
79,238
80,70
81,56
82,56
83,210
84,196
85,56
86,168
87,112
88,56
89,224
90,112
91,56
92,392
93,56
94,392
95,238
96,56
97,238
98,336
99,56
100,392
101,224
102,280
103,224
104,112
105,224
106,56
107,224
108,280
109,224
110,336
111,168
112,224
113,112
114,378
115,392
116,224
117,392
118,56
119,224
120,392
121,56
122,336
123,224
124,224
125,392
126,224
127,224
128,392
129,224
130,224
131,392
132,224
133,196
134,56
135,224
136,224
137,238
138,392
139,56
140,210
141,224
142,224
143,392
144,56
145,224
146,56
147,224
148,224
149,224
150,392
151,392
152,392
153,56
154,224
155,70
156,224
157,266
158,168
159,168
160,168
161,168
162,168
163,336
164,168
165,224
166,336
167,70
168,224
169,224
170,70
171,224
172,224
173,70
174,224
175,56
176,56
177,70
178,392
