Time,com.fasterxml.jackson.databind.introspect.AnnotatedMethod Data
0,158
1,158
2,158
3,158
4,158
5,158
6,158
7,158
8,158
9,160
10,272
11,158
12,158
13,158
14,272
15,272
16,160
17,158
18,158
19,158
20,158
21,158
22,158
23,158
24,158
25,158
26,272
27,156
28,158
29,156
30,270
31,156
32,156
33,156
34,158
35,158
36,158
37,158
38,158
39,272
40,274
41,160
42,272
43,272
44,158
45,158
46,158
47,158
48,158
49,158
50,272
51,158
52,274
53,272
54,272
55,272
56,158
57,274
58,272
59,158
60,272
61,272
62,272
63,272
64,158
65,274
66,160
67,274
68,274
69,158
70,272
71,160
72,274
73,274
74,274
75,160
76,158
77,160
78,158
79,272
80,386
81,158
82,272
83,274
84,158
85,158
86,272
87,272
88,386
89,274
90,158
91,160
92,158
93,272
94,158
95,160
96,158
97,272
98,272
99,272
100,272
101,274
102,158
103,158
104,158
105,160
106,158
107,158
108,274
