Time,com.google.common.collect.MapMakerInternalMap$WeakEntry Data
0,1343
1,1360
2,1371
3,1360
4,1360
5,1360
6,1360
7,1360
8,1150
9,1293
10,1296
11,1294
12,1293
13,1293
14,1294
15,1293
16,1294
17,1293
18,1276
19,1294
20,1217
21,1360
22,1360
23,1360
24,1361
25,1361
26,1360
27,1251
28,1343
29,1343
30,1357
31,1360
32,1234
33,1350
34,1360
35,1360
36,1360
37,1360
38,1360
39,1344
40,1360
41,1360
42,1343
43,1343
44,1234
45,1343
46,1360
47,1360
48,1360
49,1362
50,1343
51,1360
52,1360
53,1361
54,1343
55,1361
56,1234
57,1343
58,1343
59,1360
60,1360
61,1343
62,1360
63,1361
64,1361
65,1360
66,1251
67,1360
68,1234
69,1343
70,1361
71,1371
72,1360
73,1360
74,1217
75,1330
76,1330
77,1343
78,1332
79,1330
80,1314
81,1332
82,1331
83,1330
84,1330
85,1330
86,1217
87,1344
88,1343
89,1343
90,1344
91,1343
92,1346
93,1343
94,1343
95,1327
96,1343
97,1343
98,1217
99,1344
100,1343
101,1326
102,1344
103,1344
104,1343
105,1344
106,1326
107,1343
108,1344
109,1349
110,1234
111,1360
112,1343
113,1362
114,1360
115,1343
116,1360
117,1360
118,1360
119,1362
120,1360
121,1360
122,1234
123,1360
124,1360
125,1360
126,1360
127,1360
128,1360
129,1360
130,1360
131,1358
132,1360
133,1360
134,1234
135,1361
136,1370
137,1360
138,1360
139,1360
140,1360
141,1360
142,1373
143,1360
144,1360
145,1360
146,1234
147,1360
148,1361
149,1360
150,1360
151,1360
152,1361
153,1360
154,1360
155,1360
156,1360
157,1360
158,1361
159,1361
160,1374
161,1360
162,1360
163,1344
164,1360
165,1372
166,1360
167,1360
168,1343
169,1360
170,1360
171,1360
172,1361
173,1360
174,1383
175,1360
176,1361
177,1343
178,1360
179,1360
180,1360
181,1360
182,1361
183,1343
184,1380
185,1360
186,1375
187,1360
188,1360
189,1360
190,1360
191,1360
192,1362
193,1360
194,1360
195,1364
196,1377
197,1360
198,1360
199,1360
200,1360
201,1360
202,1360
203,1360
204,1361
205,1360
