Time,com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$1 Data
0,166
1,163
2,991
3,542
4,426
5,205
6,971
7,413
8,973
9,536
10,257
11,1021
12,557
13,997
14,545
15,122
16,977
17,422
18,802
19,253
20,850
21,277
22,260
23,979
24,542
25,989
26,428
27,651
28,266
29,991
30,548
31,856
32,280
33,257
34,941
35,404
36,131
37,903
38,414
39,985
40,545
41,463
42,432
43,985
44,548
45,1152
46,714
47,1122
48,576
49,245
50,257
51,734
52,248
53,281
54,1033
55,572
56,140
57,276
58,257
59,1015
60,441
61,1003
62,554
63,997
64,551
65,967
66,536
67,266
68,254
69,1870
70,705
71,439
72,420
73,758
74,260
75,399
76,145
77,149
78,251
79,1267
80,560
81,260
82,1285
83,569
84,973
85,539
86,248
87,1009
88,557
89,802
90,253
91,850
92,277
93,408
94,163
95,1140
96,708
97,1015
98,434
99,903
100,416
101,248
102,254
103,1015
104,560
105,885
106,405
107,451
108,426
109,1033
110,572
111,947
112,407
113,856
114,280
115,252
116,245
117,254
118,1021
119,437
120,393
121,385
122,260
123,959
124,413
125,1793
126,556
127,1033
128,569
129,240
130,134
131,840
132,391
133,917
134,422
135,1009
136,560
137,1799
138,559
139,1063
140,584
141,254
142,802
143,250
144,263
145,909
146,417
147,985
148,545
149,451
150,426
151,846
152,268
153,985
154,545
155,800
156,281
157,977
158,422
159,991
160,548
161,288
162,86
163,776
164,269
165,947
166,407
167,796
168,250
169,254
170,1962
171,722
172,1946
173,833
174,997
175,425
176,985
177,545
178,961
179,536
180,251
181,1912
182,726
183,1757
184,568
185,794
186,278
187,408
188,155
189,248
190,989
191,428
192,832
193,268
194,402
195,397
196,1009
197,431
198,965
199,416
200,403
201,402
202,1045
203,575
204,971
205,419
206,405
207,151
208,1926
209,704
210,439
211,420
212,1988
213,857
214,1749
215,563
216,263
217,1906
218,723
219,1849
220,577
221,564
222,423
223,1974
224,851
225,1148
226,708
227,1992
228,737
229,1021
230,563
231,808
232,256
233,997
234,554
235,263
236,1412
237,714
238,2010
239,746
240,1015
241,560
242,1988
243,728
244,427
245,201
246,1315
247,584
248,814
249,259
250,1799
251,559
252,1855
253,706
254,979
255,542
256,1976
257,848
258,269
259,1033
260,569
261,1903
262,730
263,451
264,426
265,1994
266,731
267,834
268,391
269,1027
270,566
271,2012
272,866
273,979
274,542
275,1033
276,569
277,2012
278,866
279,979
280,542
281,1009
282,560
283,1994
284,860
285,822
286,382
287,856
288,280
289,248
290,955
291,533
292,856
293,280
294,1835
295,577
296,2024
297,872
298,254
299,832
300,268
301,1154
302,711
303,1166
304,717
305,1855
306,706
307,276
308,257
309,841
310,536
311,248
312,828
313,385
314,1388
315,702
316,1021
317,563
318,1817
319,568
320,2258
321,863
322,2012
323,869
324,276
325,257
326,949
327,527
328,844
329,274
330,997
331,551
332,1799
333,559
334,257
335,415
336,408
337,967
338,539
339,463
340,432
341,997
342,554
343,1267
344,560
345,991
346,548
347,1285
348,569
349,1944
350,713
351,1051
352,578
353,1835
354,577
355,1976
356,848
357,923
358,428
359,985
360,551
361,1003
362,560
363,927
364,429
365,973
366,542
367,1003
368,557
369,794
370,281
371,840
372,394
373,411
374,163
375,272
376,752
377,260
378,2048
379,887
