Time,com.google.protobuf.CodedInputStream Data
0,167
1,2110
2,1579
3,1292
4,1367
5,397
6,1685
7,1842
8,1349
9,1188
10,1341
11,824
12,1731
13,2093
14,458
15,2148
16,2068
17,52
18,1178
19,63
20,1139
21,1889
22,1221
23,2161
24,2296
25,2165
26,69
27,65
28,234
29,475
30,2301
31,850
32,287
33,2190
34,2202
35,1503
36,2105
37,850
38,52
39,2502
40,1238
41,316
42,145
43,902
44,2426
45,826
46,2486
47,2118
48,2040
49,1090
50,1963
51,135
52,2285
53,2222
54,416
55,772
56,2508
57,369
58,1195
59,3024
60,1088
61,1572
62,242
63,787
64,2245
65,273
66,824
67,1312
68,2643
69,3028
70,254
71,1417
72,1224
73,2230
74,3346
75,3104
76,56
77,1033
78,842
79,1290
80,1718
81,1171
82,2069
83,2157
84,1162
85,1614
86,1432
87,1023
88,1232
89,581
90,1177
91,59
92,3257
93,3497
94,2189
95,1425
96,1369
97,2606
98,2743
99,1151
100,1206
101,2090
102,1861
103,309
104,2221
105,1716
106,362
107,2370
108,1746
109,114
110,3404
111,1163
112,3617
113,2610
114,839
115,2649
116,3512
117,1307
118,3584
119,2302
120,4020
121,2237
122,771
123,2208
124,837
125,2598
126,3968
127,2724
128,3600
129,1597
130,3318
131,810
132,3281
133,4301
134,1410
135,4250
136,878
137,2286
138,4418
139,1189
140,3644
141,1327
142,2464
143,4084
144,1851
145,2591
146,3937
147,1404
148,2230
149,4378
150,1269
151,1946
152,534
153,1352
154,2083
155,3464
156,4486
157,58
158,1901
159,2355
160,3080
161,4303
162,267
163,1535
164,473
165,1212
166,2469
167,2963
168,3418
169,4614
170,4459
171,267
172,1317
173,1228
174,1792
175,2626
176,142
177,388
178,1384
179,1213
180,2206
181,2452
182,2089
183,2486
184,3418
185,3071
186,3153
187,3686
188,1202
189,2165
190,2232
191,1219
192,2109
193,2208
194,1271
195,1306
196,874
197,885
198,415
199,5261
