Time,com.google.protobuf.CodedOutputStream Data
0,276
1,2521
2,1882
3,1614
4,1719
5,479
6,2126
7,2249
8,1710
9,1450
10,1686
11,939
12,2150
13,2520
14,675
15,2586
16,2478
17,80
18,1452
19,104
20,1409
21,2312
22,1537
23,2605
24,2826
25,2643
26,102
27,104
28,334
29,606
30,2834
31,979
32,416
33,2670
34,2675
35,1931
36,2522
37,979
38,84
39,3118
40,1550
41,463
42,226
43,1066
44,2982
45,945
46,3078
47,2533
48,2523
49,1314
50,2340
51,223
52,2815
53,2706
54,625
55,856
56,3030
57,557
58,1491
59,3607
60,1389
61,1968
62,341
63,878
64,2741
65,399
66,942
67,1653
68,3298
69,3620
70,360
71,1782
72,1528
73,2718
74,4047
75,3741
76,90
77,1253
78,965
79,1630
80,2140
81,1446
82,2451
83,2606
84,1439
85,2013
86,1823
87,1241
88,1540
89,853
90,1433
91,96
92,4040
93,4273
94,2655
95,1812
96,1722
97,3282
98,3452
99,1422
100,1435
101,2515
102,2196
103,453
104,2704
105,2087
106,540
107,2936
108,2130
109,188
110,4151
111,1445
112,4459
113,3270
114,965
115,3351
116,4287
117,1664
118,4404
119,2841
120,4912
121,2729
122,1007
123,2684
124,959
125,3259
126,4893
127,3251
128,4439
129,1841
130,4038
131,1055
132,3959
133,5179
134,1783
135,5119
136,1029
137,2808
138,5363
139,1482
140,4513
141,1649
142,3015
143,5011
144,2269
145,3151
146,4853
147,1780
148,2718
149,5297
150,1553
151,2341
152,573
153,1693
154,2505
155,4238
156,5476
157,93
158,2239
159,2921
160,3704
161,5182
162,377
163,1881
164,509
165,1487
166,3056
167,3507
168,4168
169,5635
170,5441
171,377
172,1635
173,1523
174,2229
175,3279
176,220
177,580
178,1745
179,1519
180,2681
181,3036
182,2516
183,3078
184,4164
185,3686
186,3891
187,4568
188,1510
189,2611
190,2725
191,1539
192,2521
193,2684
194,1600
195,1610
196,1026
197,1027
198,609
199,6341
