Time,com.mchange.v1.identicator.WeakIdHashKey$Ref Data
0,517
1,112
2,1208
3,670
4,1112
5,1133
6,449
7,1242
8,1120
9,116
10,1144
11,1006
12,920
13,518
14,1148
15,1118
16,498
17,1080
18,1073
19,467
20,1061
21,186
22,709
23,1208
24,733
25,1211
26,1319
27,1288
28,197
29,394
30,570
31,99
32,477
33,467
34,1247
35,414
36,695
37,1301
38,1349
39,1377
40,1242
41,699
42,709
43,1533
44,861
45,1009
46,669
47,391
48,487
49,1372
50,671
51,1478
52,1290
53,450
54,1315
55,1056
56,1155
57,749
58,1530
59,996
60,1006
61,555
62,465
63,1262
64,631
65,771
66,1369
67,977
68,1062
69,514
70,467
71,1226
72,716
73,112
74,632
75,1305
76,1745
77,1478
78,554
79,1355
80,1262
81,1583
82,1994
83,1644
84,860
85,1171
86,789
87,1167
88,1436
89,981
90,848
91,1205
92,824
93,1018
94,1262
95,698
96,869
97,1071
98,923
99,474
100,1870
101,1816
102,938
103,1241
104,1085
105,426
106,1744
107,1545
108,816
109,648
110,492
111,1088
112,1043
113,645
114,969
115,1047
116,625
117,1302
118,1085
119,675
120,113
121,1861
122,704
123,2060
124,1440
125,513
126,1764
127,1688
128,916
129,2122
130,1564
131,2072
132,1493
133,1187
134,1458
135,742
136,1692
137,2153
138,1479
139,1659
140,704
141,1452
142,1089
143,1828
144,1993
145,1323
146,2004
147,588
148,1468
149,2056
150,767
151,1966
152,1380
153,1656
154,2330
155,1623
156,1592
157,2267
158,1566
159,1609
160,2241
161,1473
162,1439
163,714
164,1541
165,1446
166,2051
167,2348
168,718
169,1385
170,1815
171,1707
172,2254
173,843
174,1452
175,632
176,1333
177,1611
178,1501
179,2103
180,2298
181,2307
182,806
183,1318
184,1195
185,1553
186,1906
187,652
188,856
189,1478
190,1032
191,1469
192,1687
193,1502
194,1704
195,2100
196,1725
197,2082
198,2283
199,1227
200,1435
201,1552
202,1295
203,1497
204,1519
205,1093
206,1409
207,831
208,121
209,836
210,939
211,2288
