Time,com.mchange.v2.c3p0.impl.NewProxyPreparedStatement$1 Data
0,621
1,556
2,553
3,644
4,560
5,614
6,507
7,460
8,623
9,580
10,567
11,564
12,507
13,621
14,632
15,745
16,668
17,678
18,574
19,641
20,632
21,538
22,723
23,319
24,647
25,740
26,566
27,644
28,435
29,482
30,779
31,650
32,441
33,652
34,674
35,439
36,480
37,723
38,596
39,966
40,667
41,474
42,459
43,646
44,1035
45,746
46,376
47,361
48,559
49,542
50,559
51,306
52,538
53,629
54,304
55,495
56,417
57,1162
58,1157
59,634
60,626
61,556
62,1059
63,938
64,315
65,560
66,463
67,642
68,519
69,677
70,530
71,1137
72,1274
73,739
74,1053
75,1117
76,1247
77,720
78,1189
79,649
80,432
81,634
82,798
83,1205
84,652
85,1262
86,769
87,443
88,1011
89,1246
90,622
91,1189
92,744
93,1241
94,1274
95,470
96,665
97,1284
98,619
99,663
100,1284
101,613
102,645
103,1263
104,526
105,492
106,597
107,561
108,1034
109,1368
110,467
111,791
112,744
113,1253
114,540
115,527
116,707
117,654
118,1169
119,1285
120,1295
121,523
122,404
123,634
124,1002
125,565
126,642
127,692
128,619
129,734
130,1107
131,731
132,1095
133,1256
134,467
135,631
136,699
137,438
138,608
139,640
140,341
141,540
142,1327
