Time,com.mchange.v2.c3p0.stmt.GooGooStatementCache$KeyRec Data
0,364
1,308
2,307
3,353
4,320
5,340
6,324
7,276
8,152
9,348
10,341
11,310
12,338
13,137
14,319
15,345
16,371
17,384
18,356
19,100
20,148
21,347
22,149
23,325
24,341
25,345
26,301
27,137
28,140
29,374
30,229
31,100
32,341
33,388
34,322
35,100
36,367
37,283
38,288
39,161
40,432
41,307
42,277
43,100
44,106
45,377
46,386
47,261
48,297
49,100
50,344
51,326
52,465
53,356
54,286
55,275
56,351
57,535
58,390
59,119
60,242
61,235
62,308
63,272
64,305
65,228
66,312
67,365
68,179
69,222
70,304
71,257
72,107
73,554
74,550
75,318
76,345
77,332
78,101
79,516
80,471
81,243
82,128
83,299
84,309
85,177
86,302
87,300
88,167
89,341
90,299
91,168
92,532
93,581
94,386
95,512
96,496
97,588
98,390
99,576
100,363
101,278
102,340
103,429
104,529
105,357
106,562
107,402
108,295
109,524
110,612
111,361
112,542
113,145
114,422
115,588
116,562
117,283
118,367
119,621
120,352
121,370
122,592
123,337
124,346
125,596
126,353
127,306
128,104
129,353
130,312
131,555
132,647
133,100
134,281
135,419
136,379
137,604
138,159
139,291
140,100
141,330
142,374
143,361
144,592
145,617
146,605
147,165
148,286
149,250
150,353
151,526
152,334
153,343
154,402
155,371
156,392
157,520
158,404
159,551
160,618
161,269
162,338
163,395
164,260
165,344
166,350
167,246
168,328
169,164
170,163
171,639
