Time,com.mchange.v2.resourcepool.BasicResourcePool$1RefurbishCheckinResourceTask Data
0,564
1,502
2,507
3,588
4,520
5,562
6,462
7,413
8,567
9,525
10,526
11,518
12,454
13,565
14,576
15,677
16,603
17,621
18,518
19,586
20,577
21,498
22,657
23,280
24,591
25,669
26,519
27,588
28,390
29,435
30,704
31,595
32,389
33,596
34,618
35,401
36,434
37,652
38,543
39,880
40,609
41,442
42,404
43,590
44,949
45,681
46,339
47,314
48,518
49,496
50,518
51,268
52,485
53,573
54,265
55,442
56,386
57,1053
58,1063
59,578
60,570
61,509
62,955
63,852
64,275
65,507
66,418
67,587
68,466
69,621
70,477
71,1042
72,1162
73,670
74,950
75,1030
76,1140
77,659
78,1079
79,593
80,387
81,579
82,719
83,1096
84,596
85,1151
86,197
87,697
88,398
89,925
90,1139
91,566
92,1093
93,673
94,1137
95,1162
96,437
97,609
98,1173
99,563
100,608
101,1173
102,557
103,590
104,1153
105,481
106,445
107,543
108,514
109,934
110,1241
111,422
112,713
113,678
114,1145
115,499
116,481
117,644
118,598
119,1068
120,1174
121,1181
122,483
123,357
124,578
125,909
126,517
127,586
128,628
129,565
130,664
131,1014
132,667
133,995
134,1144
135,412
136,576
137,635
138,389
139,554
140,585
141,300
142,494
143,1214
