Time,com.sun.jmx.interceptor.DefaultMBeanServerInterceptor$ListenerWrapper Data
0,671
1,674
2,674
3,674
4,674
5,674
6,674
7,674
8,674
9,674
10,674
11,674
12,674
13,674
14,674
15,674
16,674
17,674
18,674
19,674
20,674
21,674
22,674
23,674
24,674
25,674
26,674
27,674
28,674
29,674
30,674
31,674
32,674
33,674
34,674
35,674
36,674
37,674
38,674
39,674
40,674
41,674
42,674
43,674
44,674
45,674
46,674
47,674
48,674
49,674
50,674
51,674
52,674
53,674
54,674
55,674
56,674
57,674
58,674
59,674
60,674
61,674
62,674
63,674
64,674
65,674
66,674
67,674
68,674
69,674
70,674
71,674
72,674
73,674
74,674
75,674
76,674
77,674
78,674
79,674
80,674
81,674
82,674
83,674
84,674
85,674
86,674
87,674
88,674
89,674
90,674
91,674
92,674
93,674
94,674
95,674
96,674
97,674
98,674
99,674
100,674
101,674
102,674
103,674
104,674
105,674
106,674
107,674
108,674
109,674
110,674
111,674
112,674
113,674
114,674
115,674
116,674
117,674
118,674
119,674
120,674
121,674
122,674
123,674
124,674
125,674
126,674
127,674
128,674
129,674
130,674
131,674
132,674
133,674
134,674
135,674
136,674
137,674
138,674
139,674
140,674
141,674
142,674
143,674
144,674
145,674
146,674
147,674
148,674
149,674
150,674
151,674
152,674
153,674
154,674
155,674
156,674
157,674
158,674
159,674
160,674
161,674
162,674
163,674
164,674
165,674
166,674
167,674
168,674
169,674
170,674
171,674
172,674
173,674
174,674
175,674
176,674
177,674
178,674
179,674
180,674
181,674
182,674
183,674
184,674
185,674
186,674
187,674
188,674
189,674
190,674
191,674
192,674
193,674
194,674
195,674
196,674
197,674
198,674
199,674
200,674
201,674
202,674
203,674
204,674
205,674
