Time,com.sun.jmx.remote.internal.ArrayNotificationBuffer$NamedNotification Data
0,87
1,131
2,141
3,170
4,174
5,178
6,181
7,190
8,194
9,213
10,217
11,224
12,228
13,232
14,237
15,241
16,244
17,248
18,251
19,255
20,259
21,262
22,266
23,269
24,273
25,276
26,281
27,285
28,289
29,292
30,295
31,299
32,302
33,305
34,309
35,312
36,316
37,319
38,323
39,327
40,330
41,333
42,336
43,339
44,344
45,347
46,350
47,353
48,356
49,359
50,363
51,366
52,369
53,372
54,375
55,378
56,383
57,386
58,389
59,392
60,395
61,398
62,401
63,404
64,407
65,410
66,412
67,415
68,420
69,423
70,426
71,429
72,431
73,434
74,437
75,440
76,443
77,445
78,448
79,451
80,455
81,458
82,461
83,463
84,466
85,469
86,471
87,474
88,476
89,479
90,482
91,484
92,488
93,491
94,493
95,496
96,498
97,501
98,504
99,506
100,509
101,511
102,513
103,516
104,520
105,523
106,525
107,528
108,530
109,532
110,535
111,537
112,540
113,542
114,544
115,547
116,550
117,553
118,555
119,557
120,560
121,562
122,564
123,567
124,569
125,571
126,574
127,576
128,580
129,582
130,584
131,586
132,588
133,591
134,593
135,595
136,597
137,599
138,602
139,604
140,608
141,610
142,612
143,614
144,616
145,618
146,620
147,623
148,625
149,627
150,629
151,631
152,635
153,637
154,639
155,641
156,643
157,645
158,647
159,649
160,651
161,653
162,655
163,657
164,661
165,663
166,665
167,667
168,669
169,671
170,673
171,675
172,677
173,679
174,681
175,682
