Time,com.sun.org.apache.xalan.internal.xsltc.trax.TransformerFactoryImpl Data
0,76
1,118
2,99
3,105
4,111
5,65
6,133
7,121
8,55
9,123
10,90
11,112
12,77
13,124
14,127
15,95
16,130
17,118
18,70
19,102
20,64
21,107
22,127
23,125
24,130
25,172
26,139
27,59
28,85
29,61
30,95
31,154
32,74
33,85
34,133
35,136
36,133
37,109
38,80
39,67
40,160
41,113
42,88
43,88
44,89
45,64
46,157
47,77
48,163
49,121
50,61
51,139
52,87
53,112
54,85
55,166
56,136
57,106
58,61
59,68
60,143
61,97
62,116
63,155
64,105
65,115
66,56
67,68
68,139
69,76
70,74
71,114
72,153
73,152
74,79
75,103
76,113
77,139
78,159
79,164
80,64
81,84
82,74
83,108
84,124
85,116
86,109
87,130
88,113
89,124
90,132
91,113
92,102
93,108
94,78
95,70
96,192
97,186
98,127
99,126
100,117
101,64
102,187
103,167
104,107
105,99
106,61
107,127
108,103
109,91
110,133
111,115
112,94
113,158
114,118
115,94
116,162
117,113
118,207
119,158
120,77
121,184
122,183
123,117
124,201
125,154
126,205
127,145
128,90
129,136
130,77
131,175
132,214
133,143
134,198
135,101
136,179
137,93
138,147
139,196
140,123
141,193
142,83
143,166
144,232
145,119
146,201
147,108
148,149
149,217
150,124
151,152
152,217
153,123
154,142
155,211
156,102
157,115
158,62
159,114
160,118
161,181
162,235
163,67
164,103
165,169
166,164
167,196
168,82
169,103
170,62
171,99
172,148
173,146
174,174
175,226
176,220
177,82
178,105
179,104
180,133
181,162
182,71
183,100
184,120
185,125
186,136
187,157
188,127
189,163
190,180
191,161
192,180
193,199
194,122
195,133
196,142
197,125
198,124
199,139
200,111
201,114
202,89
203,98
204,89
205,239
