Time,com.sun.org.apache.xerces.internal.dom.AttributeMap Data
0,5833
1,5833
2,2996
3,2996
4,2837
5,5833
6,5833
7,2996
8,2996
9,5833
10,2837
11,5833
12,5833
13,2996
14,5833
15,5833
16,2996
17,2837
18,5833
19,2837
20,5833
21,5833
22,5833
23,2837
24,2837
25,5833
26,2837
27,5833
28,5833
29,5833
30,5833
31,2837
32,5833
33,2837
34,2837
35,5833
36,2837
37,5833
38,5833
39,5833
40,2996
41,5833
42,5833
43,5833
44,2837
45,8670
46,2837
47,8670
48,2996
49,5833
50,2996
51,2837
52,5833
53,2837
54,2996
55,8829
56,8670
57,5833
58,2837
59,5833
60,8829
61,8670
62,2996
63,2837
64,5833
65,5833
66,2837
67,5833
68,5833
69,2837
70,5833
71,2996
72,2837
73,5833
74,2996
75,2996
76,8829
77,8829
78,5833
79,2996
80,2996
81,5833
82,8829
83,2837
84,5833
85,5833
86,5833
87,5833
88,5833
89,8670
90,5833
91,8829
92,2837
93,8829
94,8829
95,2837
96,5833
97,8829
98,5833
99,8829
100,5833
101,11666
102,5833
103,2996
104,5833
105,2837
106,5833
107,11666
108,8670
109,8829
110,2837
111,8670
112,2996
113,8829
114,11666
115,2996
116,11666
117,2837
118,5833
119,11666
120,2837
121,8829
122,2996
123,8670
124,11666
125,5833
126,8670
127,11666
128,2996
129,5833
130,11666
131,2996
132,5833
133,2837
134,2996
135,5833
136,11666
137,11666
138,5833
139,5833
140,8670
141,11666
142,5833
143,2837
144,2996
145,5833
146,8670
147,8829
148,11666
149,11666
150,2996
151,2837
152,5833
153,8829
154,2837
155,2996
156,2837
157,5833
158,5833
159,5833
160,5833
161,8829
162,8670
163,8829
164,11666
165,2837
166,5833
167,5833
168,2837
169,5833
170,5833
171,5833
172,2996
173,2837
174,2837
175,2996
176,14503
