Time,com.sun.org.apache.xerces.internal.dom.DeferredDocumentImpl$RefCount Data
0,1470
1,2355
2,2457
3,1932
4,1986
5,564
6,3060
7,2496
8,141
9,2409
10,738
11,2094
12,987
13,2355
14,2919
15,1389
16,2637
17,2430
18,564
19,1509
20,564
21,2355
22,2496
23,2952
24,2799
25,3906
26,3603
27,564
28,543
29,1600
30,4047
31,1269
32,938
33,3345
34,3201
35,2778
36,2295
37,1269
38,294
39,4428
40,2376
41,1107
42,966
43,1692
44,222
45,3624
46,987
47,4047
48,2214
49,141
50,3342
51,684
52,2094
53,1389
54,3999
55,3483
56,2073
57,141
58,423
59,3483
60,1650
61,2658
62,4302
63,1650
64,2235
65,564
66,3624
67,999
68,960
69,2046
70,3603
71,4188
72,846
73,1530
74,2637
75,3481
76,3744
77,4893
78,423
79,684
80,1068
81,2496
82,2496
83,2658
84,1953
85,2778
86,2376
87,2637
88,2637
89,2256
90,1812
91,1650
92,549
93,423
94,5133
95,4710
96,3060
97,2496
98,1947
99,282
100,5415
101,4167
102,2235
103,1404
104,141
105,2919
106,1671
107,1221
108,3342
109,2355
110,1389
111,4188
112,2496
113,1161
114,4293
115,2382
116,5697
117,4026
118,1128
119,5274
120,4872
121,2778
122,5415
123,4167
124,6120
125,3624
126,825
127,3114
128,1128
129,4590
130,6543
131,3483
132,5697
133,2517
134,5171
135,966
136,3744
137,5295
138,2355
139,5415
140,1379
141,3906
142,6423
143,2658
144,5838
145,1443
146,3765
147,6261
148,2355
149,3906
150,6261
151,2355
152,3483
153,6120
154,1107
155,2235
156,141
157,1930
158,2314
159,4872
160,6825
161,423
162,1671
163,4449
164,4590
165,5295
166,705
167,1932
168,141
169,1248
170,4026
171,3624
172,4362
173,6543
174,6657
175,705
176,1650
177,1953
178,2778
179,3744
180,564
181,1704
182,2187
183,2940
184,3141
185,3765
186,2919
187,4047
188,4710
189,4611
190,4590
191,5415
192,2778
193,2892
194,3313
195,2919
196,2496
197,3201
198,2235
199,1530
200,1389
201,1410
202,966
203,7389
