Time,com.sun.org.apache.xerces.internal.dom.DeferredElementNSImpl Data
0,35176
1,56548
2,58766
3,46438
4,47626
5,13480
6,73398
7,59918
8,3370
9,57736
10,17667
11,50179
12,23590
13,56548
14,70028
15,33329
16,63288
17,58107
18,13480
19,36328
20,13480
21,56548
22,59918
23,70614
24,67029
25,93618
26,86507
27,13480
28,13109
29,38258
30,96988
31,30330
32,22514
33,80138
34,76768
35,66658
36,55025
37,30330
38,6955
39,106356
40,56919
41,26589
42,23219
43,40440
44,5217
45,86878
46,23590
47,96988
48,53178
49,3370
50,80138
51,16479
52,50179
53,33329
54,95912
55,83508
56,49808
57,3370
58,10110
59,83508
60,39698
61,63659
62,103023
63,39698
64,53549
65,13480
66,86878
67,24036
68,22885
69,49103
70,86507
71,100358
72,20220
73,36699
74,63288
75,83508
76,89877
77,117208
78,10110
79,16479
80,25437
81,59918
82,59918
83,63659
84,46809
85,66658
86,56919
87,63288
88,63288
89,53920
90,43439
91,39698
92,13203
93,10110
94,123206
95,113096
96,73398
97,59918
98,46702
99,6740
100,129946
101,99987
102,53549
103,33593
104,3370
105,70028
106,40069
107,29254
108,80138
109,56548
110,33329
111,100358
112,59918
113,27777
114,103080
115,57013
116,136686
117,96617
118,26960
119,126576
120,116837
121,66658
122,129946
123,99987
124,146796
125,86878
126,19849
127,74586
128,26960
129,110097
130,156906
131,83508
132,136686
133,60289
134,123948
135,23219
136,89877
137,126947
138,56548
139,129946
140,32995
141,93618
142,153907
143,63659
144,140056
145,34517
146,90248
147,150166
148,56548
149,93618
150,150166
151,56548
152,83508
153,146796
154,26589
155,53549
156,3370
157,46438
158,55396
159,116837
160,163646
161,10110
162,40069
163,106727
164,110097
165,126947
166,16850
167,46438
168,3370
169,29959
170,96617
171,86878
172,104545
173,156906
174,159571
175,16850
176,39698
177,46809
178,66658
179,89877
180,13480
181,40886
182,52473
183,70399
184,75245
185,90248
186,70028
187,96988
188,113096
189,110468
190,110097
191,129946
192,66658
193,69323
194,79433
195,70028
196,59918
197,76768
198,53549
199,36699
200,33329
201,33700
202,23219
203,177126
