Time,com.sun.org.apache.xerces.internal.dom.DeferredTextImpl Data
0,61459
1,98688
2,102703
3,81012
4,83152
5,23568
6,128148
7,104580
8,5892
9,100828
10,30862
11,87642
12,41244
13,98688
14,122256
15,58182
16,110472
17,101566
18,23568
19,63336
20,23568
21,98688
22,104580
23,123422
24,117102
25,163500
26,150978
27,23568
28,22830
29,66952
30,169392
31,53028
32,39298
33,139932
34,134040
35,116364
36,96073
37,53028
38,12212
39,185592
40,99426
41,46398
42,40506
43,70704
44,9169
45,151716
46,41244
47,169392
48,92796
49,5892
50,139932
51,28722
52,87642
53,58182
54,167446
55,145824
56,86904
57,5892
58,17676
59,145824
60,69228
61,111210
62,179968
63,69228
64,93534
65,23568
66,151716
67,41908
68,40036
69,85696
70,150978
71,175284
72,35352
73,64074
74,110472
75,145824
76,156870
77,204744
78,17676
79,28722
80,44521
81,104580
82,104580
83,111210
84,81750
85,116364
86,99426
87,110472
88,110472
89,94272
90,75858
91,69228
92,23017
93,17676
94,215052
95,197376
96,128148
97,104580
98,81537
99,11784
100,226836
101,174546
102,93534
103,58707
104,5892
105,122256
106,69966
107,51082
108,139932
109,98688
110,58182
111,175284
112,104580
113,48538
114,179887
115,99613
116,238620
117,168654
118,47136
119,220944
120,204006
121,116364
122,226836
123,174546
124,256296
125,151716
126,34614
127,130288
128,47136
129,192222
130,273972
131,145824
132,238620
133,105318
134,216528
135,40506
136,156870
137,221682
138,98688
139,226836
140,57712
141,163500
142,268818
143,111210
144,244512
145,60322
146,157608
147,262188
148,98688
149,163500
150,262188
151,98688
152,145824
153,256296
154,46398
155,93534
156,5892
157,81012
158,96811
159,204006
160,285756
161,17676
162,69966
163,186330
164,192222
165,221682
166,29460
167,81012
168,5892
169,52290
170,168654
171,151716
172,182578
173,273972
174,278656
175,29460
176,69228
177,81750
178,116364
179,156870
180,23568
181,71368
182,91588
183,122994
184,131425
185,157608
186,122256
187,169392
188,197376
189,192960
190,192222
191,226836
192,116364
193,121048
194,138724
195,122256
196,104580
197,134040
198,93534
199,64074
200,58182
201,58920
202,40506
203,309324
