Time,com.sun.org.apache.xerces.internal.impl.XMLDTDScannerImpl Data
0,134
1,208
2,219
3,171
4,177
5,58
6,268
7,220
8,21
9,214
10,72
11,187
12,94
13,208
14,256
15,126
16,232
17,217
18,57
19,135
20,57
21,207
22,220
23,260
24,249
25,340
26,313
27,57
28,53
29,147
30,352
31,118
32,86
33,293
34,280
35,243
36,204
37,118
38,35
39,381
40,211
41,101
42,90
43,154
44,29
45,316
46,94
47,352
48,196
49,21
50,291
51,66
52,187
53,126
54,347
55,304
56,182
57,21
58,46
59,305
60,146
61,235
62,375
63,147
64,199
65,58
66,316
67,92
68,92
69,181
70,313
71,365
72,81
73,139
74,231
75,303
76,325
77,425
78,45
79,66
80,102
81,220
82,220
83,235
84,175
85,244
86,210
87,232
88,231
89,202
90,163
91,147
92,55
93,45
94,442
95,406
96,268
97,219
98,174
99,33
100,465
101,361
102,198
103,131
104,21
105,256
106,151
107,112
108,292
109,208
110,126
111,364
112,220
113,108
114,371
115,212
116,490
117,349
118,106
119,453
120,421
121,244
122,466
123,361
124,527
125,316
126,78
127,274
128,106
129,397
130,563
131,305
132,490
133,223
134,448
135,90
136,325
137,458
138,207
139,467
140,127
141,340
142,554
143,235
144,502
145,133
146,329
147,539
148,208
149,341
150,539
151,207
152,304
153,527
154,102
155,199
156,22
157,170
158,206
159,422
160,587
161,45
162,151
163,385
164,398
165,458
166,69
167,172
168,22
169,114
170,349
171,317
172,378
173,563
174,573
175,69
176,147
177,174
178,244
179,324
180,58
181,153
182,192
183,259
184,276
185,328
186,256
187,352
188,406
189,401
190,397
191,467
192,243
193,254
194,289
195,255
196,220
197,280
198,199
199,138
200,127
201,130
202,90
203,636
