Time,com.sun.org.apache.xerces.internal.impl.XMLEntityScanner Data
0,134
1,208
2,219
3,171
4,177
5,58
6,268
7,220
8,214
9,72
10,187
11,94
12,208
13,256
14,126
15,232
16,217
17,57
18,135
19,57
20,207
21,220
22,260
23,249
24,340
25,313
26,57
27,53
28,147
29,352
30,118
31,86
32,293
33,280
34,243
35,204
36,118
37,381
38,211
39,101
40,90
41,154
42,316
43,94
44,352
45,196
46,291
47,66
48,187
49,126
50,347
51,304
52,182
53,46
54,305
55,146
56,235
57,375
58,147
59,199
60,58
61,316
62,92
63,92
64,181
65,313
66,365
67,81
68,139
69,231
70,303
71,325
72,425
73,45
74,66
75,102
76,220
77,220
78,235
79,175
80,244
81,210
82,232
83,231
84,202
85,163
86,147
87,45
88,442
89,406
90,268
91,219
92,174
93,465
94,361
95,198
96,131
97,256
98,151
99,112
100,292
101,208
102,126
103,364
104,220
105,108
106,371
107,212
108,490
109,349
110,106
111,453
112,421
113,244
114,466
115,361
116,527
117,316
118,78
119,274
120,106
121,397
122,563
123,305
124,490
125,223
126,448
127,90
128,325
129,458
130,207
131,467
132,127
133,340
134,554
135,235
136,502
137,133
138,329
139,539
140,208
141,341
142,539
143,207
144,304
145,527
146,102
147,199
148,170
149,206
150,422
151,587
152,45
153,151
154,385
155,398
156,458
157,69
158,172
159,114
160,349
161,317
162,378
163,563
164,573
165,69
166,147
167,174
168,244
169,324
170,58
171,153
172,192
173,259
174,276
175,328
176,256
177,352
178,406
179,401
180,397
181,467
182,243
183,254
184,289
185,255
186,220
187,280
188,199
189,138
190,127
191,130
192,90
193,636
