Time,com.sun.org.apache.xerces.internal.impl.dtd.DTDGrammarBucket Data
0,224
1,273
2,225
3,219
4,192
5,261
6,237
7,222
8,212
9,225
10,265
11,254
12,345
13,318
14,152
15,357
16,298
17,285
18,248
19,386
20,216
21,159
22,321
23,357
24,296
25,352
26,309
27,187
28,310
29,240
30,380
31,204
32,321
33,318
34,370
35,236
36,308
37,330
38,430
39,225
40,225
41,240
42,249
43,215
44,237
45,236
46,207
47,447
48,411
49,273
50,224
51,470
52,366
53,203
54,261
55,297
56,213
57,369
58,225
59,376
60,217
61,495
62,354
63,458
64,426
65,249
66,471
67,366
68,532
69,321
70,279
71,402
72,568
73,310
74,495
75,228
76,453
77,330
78,463
79,472
80,345
81,559
82,240
83,507
84,334
85,544
86,346
87,544
88,309
89,532
90,204
91,211
92,427
93,592
94,390
95,403
96,463
97,354
98,322
99,383
100,568
101,578
102,249
103,329
104,264
105,281
106,333
107,261
108,357
109,411
110,406
111,402
112,472
113,248
114,259
115,294
116,260
117,225
118,285
119,204
120,641
