Time,com.sun.org.apache.xerces.internal.impl.dtd.XMLSimpleType Data
0,314
1,462
2,484
3,388
4,400
5,162
6,582
7,486
8,88
9,474
10,190
11,420
12,234
13,462
14,558
15,298
16,510
17,480
18,160
19,316
20,160
21,460
22,486
23,566
24,544
25,726
26,672
27,66
28,160
29,152
30,340
31,750
32,282
33,218
34,632
35,606
36,532
37,454
38,282
39,116
40,808
41,468
42,248
43,226
44,354
45,104
46,678
47,234
48,750
49,438
50,88
51,628
52,178
53,420
54,298
55,740
56,654
57,410
58,88
59,138
60,656
61,338
62,516
63,796
64,340
65,444
66,64
67,162
68,678
69,230
70,230
71,408
72,672
73,776
74,208
75,324
76,508
77,652
78,696
79,896
80,136
81,178
82,250
83,486
84,486
85,516
86,396
87,534
88,466
89,510
90,508
91,450
92,372
93,340
94,156
95,136
96,930
97,858
98,582
99,484
100,394
101,112
102,976
103,768
104,442
105,308
106,88
107,558
108,348
109,270
110,630
111,462
112,298
113,774
114,486
115,262
116,788
117,470
118,1026
119,744
120,258
121,952
122,888
123,534
124,978
125,768
126,1100
127,678
128,202
129,594
130,258
131,840
132,1172
133,656
134,1026
135,492
136,942
137,226
138,696
139,962
140,460
141,980
142,300
143,726
144,1154
145,516
146,1050
147,312
148,704
149,1124
150,462
151,728
152,1124
153,460
154,654
155,1100
156,250
157,444
158,90
159,386
160,458
161,890
162,1220
163,136
164,348
165,816
166,842
167,962
168,184
169,390
170,90
171,274
172,744
173,680
174,802
175,1172
176,1192
177,184
178,340
179,394
180,534
181,694
182,162
183,352
184,430
185,564
186,598
187,702
188,558
189,750
190,858
191,848
192,840
193,980
194,532
195,554
196,624
197,556
198,486
199,606
200,444
201,322
202,300
203,306
204,226
205,1318
