Time,com.sun.org.apache.xerces.internal.parsers.DOMParser Data
0,127
1,201
2,212
3,164
4,170
5,51
6,261
7,213
8,14
9,207
10,65
11,180
12,87
13,201
14,249
15,119
16,225
17,210
18,50
19,128
20,50
21,200
22,213
23,253
24,242
25,333
26,306
27,50
28,46
29,140
30,345
31,111
32,79
33,286
34,273
35,236
36,197
37,111
38,28
39,374
40,204
41,94
42,83
43,147
44,22
45,309
46,87
47,345
48,189
49,14
50,284
51,59
52,180
53,119
54,340
55,297
56,175
57,14
58,39
59,298
60,139
61,228
62,368
63,140
64,192
65,51
66,309
67,85
68,85
69,174
70,306
71,358
72,74
73,132
74,224
75,296
76,318
77,418
78,38
79,59
80,95
81,213
82,213
83,228
84,168
85,237
86,203
87,225
88,224
89,195
90,156
91,140
92,48
93,38
94,435
95,399
96,261
97,212
98,167
99,26
100,458
101,354
102,191
103,124
104,249
105,144
106,105
107,285
108,201
109,119
110,357
111,213
112,101
113,364
114,205
115,483
116,342
117,99
118,446
119,414
120,237
121,459
122,354
123,520
124,309
125,71
126,267
127,99
128,390
129,556
130,298
131,483
132,216
133,441
134,83
135,318
136,451
137,200
138,460
139,120
140,333
141,547
142,228
143,495
144,126
145,322
146,532
147,201
148,334
149,532
150,200
151,297
152,520
153,95
154,192
155,15
156,163
157,199
158,415
159,580
160,38
161,144
162,378
163,391
164,451
165,62
166,165
167,15
168,107
169,342
170,310
171,371
172,556
173,566
174,62
175,140
176,167
177,237
178,317
179,51
180,146
181,185
182,252
183,269
184,321
185,249
186,345
187,399
188,394
189,390
190,460
191,236
192,247
193,282
194,248
195,213
196,273
197,192
198,131
199,120
200,123
201,83
202,629
