Time,com.sun.org.apache.xerces.internal.util.IntStack Data
0,164
1,256
2,274
3,218
4,336
5,272
6,266
7,232
8,256
9,320
10,152
11,288
12,274
13,256
14,272
15,330
16,312
17,432
18,392
19,184
20,448
21,144
22,370
23,352
24,304
25,252
26,144
27,480
28,264
29,192
30,400
31,448
32,240
33,368
34,232
35,438
36,384
37,224
38,384
39,176
40,296
41,478
42,248
43,400
44,222
45,392
46,464
47,288
48,382
49,408
50,544
51,272
52,272
53,296
54,216
55,304
56,264
57,288
58,288
59,256
60,200
61,560
62,512
63,336
64,272
65,214
66,592
67,456
68,248
69,320
70,368
71,256
72,464
73,272
74,466
75,266
76,624
77,440
78,576
79,536
80,304
81,592
82,456
83,672
84,400
85,346
86,504
87,720
88,384
89,624
90,280
91,574
92,408
93,584
94,256
95,592
96,156
97,432
98,712
99,296
100,640
101,416
102,688
103,256
104,432
105,688
106,256
107,384
108,672
109,248
110,258
111,536
112,752
113,488
114,504
115,584
116,208
117,440
118,400
119,480
120,720
121,734
122,216
123,304
124,408
125,186
126,236
127,328
128,348
129,416
130,320
131,448
132,512
133,512
134,504
135,592
136,304
137,318
138,364
139,320
140,272
141,352
142,248
143,160
144,816
