Time,com.sun.org.apache.xerces.internal.util.SymbolTable$Entry Data
0,773
1,1048
2,1089
3,910
4,934
5,484
6,1278
7,1094
8,346
9,1072
10,537
11,973
12,622
13,1048
14,1232
15,743
16,1140
17,1089
18,484
19,772
20,484
21,1048
22,1094
23,1253
24,1203
25,1554
26,1445
27,300
28,484
29,467
30,823
31,1600
32,714
33,589
34,1377
35,1324
36,1186
37,1032
38,714
39,400
40,1704
41,1065
42,651
43,605
44,852
45,376
46,1462
47,622
48,1600
49,1002
50,346
51,1370
52,513
53,973
54,743
55,1574
56,1416
57,956
58,346
59,438
60,1416
61,818
62,1157
63,1683
64,818
65,1019
66,300
67,484
68,1462
69,612
70,613
71,947
72,1445
73,1646
74,576
75,789
76,1140
77,1407
78,1491
79,1876
80,438
81,513
82,652
83,1094
84,1094
85,1157
86,927
87,1186
88,1065
89,1140
90,1140
91,1036
92,881
93,818
94,471
95,438
96,1934
97,1796
98,1278
99,1094
100,922
101,392
102,2026
103,1629
104,1019
105,755
106,346
107,1232
108,835
109,688
110,1370
111,1048
112,743
113,1646
114,1094
115,675
116,1662
117,1069
118,2118
119,1583
120,668
121,1980
122,1859
123,1186
124,2026
125,1629
126,2256
127,1462
128,559
129,1302
130,668
131,1767
132,2394
133,1416
134,2118
135,1111
136,1959
137,605
138,1491
139,1997
140,1048
141,2026
142,744
143,1554
144,2365
145,1157
146,2164
147,767
148,1508
149,2302
150,1048
151,1554
152,2302
153,1048
154,1416
155,2256
156,651
157,1019
158,346
159,901
160,1043
161,1859
162,2486
163,438
164,835
165,1721
166,1767
167,1997
168,530
169,910
170,346
171,697
172,1583
173,1462
174,1692
175,2394
176,2431
177,530
178,818
179,927
180,1186
181,1491
182,484
183,842
184,986
185,1249
186,1308
187,1508
188,1232
189,1600
190,1796
191,1784
192,1767
193,2026
194,1186
195,1223
196,1354
197,1232
198,1094
199,1324
200,1019
201,789
202,743
203,760
204,605
205,2670
