Time,com.sun.org.apache.xerces.internal.util.URI Data
0,83
1,130
2,139
3,106
4,110
5,170
6,138
7,135
8,118
9,130
10,162
11,78
12,146
13,138
14,130
15,138
16,167
17,158
18,218
19,198
20,94
21,225
22,74
23,187
24,178
25,154
26,127
27,74
28,242
29,134
30,98
31,202
32,226
33,122
34,186
35,118
36,78
37,221
38,194
39,114
40,194
41,90
42,150
43,240
44,126
45,202
46,112
47,198
48,234
49,146
50,193
51,206
52,274
53,64
54,138
55,138
56,150
57,110
58,154
59,134
60,146
61,146
62,130
63,102
64,282
65,258
66,170
67,138
68,109
69,298
70,230
71,126
72,162
73,94
74,186
75,130
76,234
77,138
78,235
79,135
80,314
81,222
82,66
83,290
84,270
85,154
86,298
87,230
88,338
89,202
90,175
91,66
92,254
93,362
94,194
95,314
96,142
97,289
98,206
99,294
100,130
101,298
102,80
103,218
104,358
105,150
106,322
107,210
108,346
109,130
110,218
111,346
112,130
113,194
114,338
115,126
116,105
117,131
118,270
119,378
120,94
121,245
122,254
123,294
124,106
125,222
126,202
127,242
128,362
129,368
130,110
131,154
132,206
133,95
134,120
135,166
136,175
137,210
138,162
139,226
140,258
141,258
142,254
143,298
144,154
145,160
146,184
147,162
148,138
149,178
150,126
151,82
152,410
