Time,com.sun.org.apache.xerces.internal.util.XMLAttributesImpl Data
0,134
1,208
2,219
3,171
4,177
5,58
6,268
7,220
8,214
9,187
10,94
11,208
12,256
13,126
14,232
15,217
16,57
17,135
18,57
19,207
20,220
21,260
22,249
23,340
24,313
25,53
26,147
27,352
28,118
29,86
30,293
31,280
32,243
33,204
34,118
35,381
36,211
37,101
38,90
39,154
40,316
41,94
42,352
43,196
44,291
45,187
46,126
47,347
48,304
49,182
50,305
51,146
52,235
53,375
54,147
55,199
56,58
57,316
58,92
59,92
60,181
61,313
62,365
63,81
64,139
65,231
66,303
67,325
68,425
69,102
70,220
71,220
72,235
73,175
74,244
75,210
76,232
77,231
78,202
79,163
80,147
81,442
82,406
83,268
84,219
85,174
86,465
87,361
88,198
89,131
90,256
91,151
92,112
93,292
94,208
95,126
96,364
97,220
98,108
99,371
100,212
101,490
102,349
103,106
104,453
105,421
106,244
107,466
108,361
109,527
110,316
111,274
112,106
113,397
114,563
115,305
116,490
117,223
118,448
119,90
120,325
121,458
122,207
123,467
124,127
125,340
126,554
127,235
128,502
129,133
130,329
131,539
132,208
133,341
134,539
135,207
136,304
137,527
138,102
139,199
140,170
141,206
142,422
143,587
144,151
145,385
146,398
147,458
148,69
149,172
150,114
151,349
152,317
153,378
154,563
155,573
156,69
157,147
158,174
159,244
160,324
161,58
162,153
163,192
164,259
165,276
166,328
167,256
168,352
169,406
170,401
171,397
172,467
173,243
174,254
175,289
176,255
177,220
178,280
179,199
180,138
181,127
182,130
183,90
184,636
