Time,com.sun.org.apache.xerces.internal.util.XMLStringBuffer Data
0,2740
1,4180
2,4420
3,3448
4,3580
5,1228
6,5380
7,4420
8,496
9,4312
10,1504
11,3784
12,1948
13,4180
14,5140
15,2572
16,4660
17,4396
18,1216
19,2728
20,1216
21,4168
22,4420
23,5248
24,5008
25,6820
26,6256
27,268
28,1216
29,1120
30,3016
31,7060
32,2428
33,1780
34,5884
35,5620
36,4888
37,4108
38,2428
39,784
40,7600
41,4264
42,2080
43,1852
44,3148
45,664
46,6340
47,1948
48,7060
49,3940
50,496
51,5848
52,1372
53,3784
54,2572
55,6940
56,6100
57,3676
58,496
59,988
60,6112
61,2956
62,4744
63,7516
64,2968
65,4024
66,256
67,1228
68,6340
69,1888
70,1912
71,3652
72,6256
73,7312
74,1696
75,2824
76,4648
77,6076
78,6496
79,8512
80,976
81,1372
82,2116
83,4420
84,4420
85,4744
86,3544
87,4900
88,4252
89,4660
90,4648
91,4108
92,3304
93,2968
94,1156
95,976
96,8812
97,8092
98,5380
99,4408
100,3520
101,736
102,9280
103,7216
104,4012
105,2668
106,496
107,5140
108,3064
109,2296
110,5860
111,4180
112,2572
113,7300
114,4420
115,2224
116,7396
117,4288
118,9772
119,6976
120,2188
121,9040
122,8416
123,4900
124,9292
125,7216
126,10504
127,6340
128,1612
129,5512
130,2188
131,7936
132,11224
133,6112
134,9772
135,4504
136,8968
137,1852
138,6496
139,9148
140,4168
141,9304
142,2608
143,6820
144,11068
145,4744
146,10012
147,2716
148,6592
149,10744
150,4180
151,6832
152,10744
153,4168
154,6100
155,10504
156,2092
157,4024
158,508
159,3424
160,4168
161,8428
162,11704
163,976
164,3064
165,7696
166,7948
167,9148
168,1456
169,3460
170,508
171,2332
172,6976
173,6352
174,7564
175,11224
176,11428
177,1456
178,2968
179,3532
180,4900
181,6484
182,1228
183,3100
184,3868
185,5224
186,5548
187,6580
188,5140
189,7060
190,8092
191,8032
192,7936
193,9304
194,4888
195,5104
196,5800
197,5128
198,4420
199,5620
200,4024
201,2812
202,2584
203,2668
204,1852
205,12676
