Time,com.sun.org.apache.xerces.internal.utils.SecuritySupport$4 Data
0,3097
1,4966
2,5247
3,4041
4,4169
5,1225
6,6466
7,5266
8,300
9,5118
10,1549
11,4446
12,2125
13,4966
14,6166
15,2921
16,5566
17,5174
18,1200
19,3141
20,1200
21,4941
22,5266
23,6271
24,5983
25,8266
26,7586
27,1200
28,1096
29,3453
30,8541
31,2725
32,1922
33,7091
34,6766
35,5841
36,4843
37,2725
38,652
39,9282
40,5045
41,2296
42,2020
43,3625
44,502
45,7666
46,2125
47,8566
48,4666
49,300
50,7041
51,1421
52,4446
53,2920
54,8437
55,7366
56,4316
57,300
58,925
59,7391
60,3416
61,5645
62,9117
63,3441
64,4746
65,1225
66,7666
67,2044
68,2051
69,4268
70,7587
71,8891
72,1800
73,3246
74,5541
75,7341
76,7887
77,10391
78,900
79,1421
80,2303
81,5266
82,5266
83,5645
84,4146
85,5866
86,5021
87,5566
88,5541
89,4825
90,3846
91,3441
92,1132
93,900
94,10807
95,9907
96,6466
97,5241
98,4108
99,600
100,11382
101,8787
102,4721
103,3048
104,300
105,6166
106,3546
107,2546
108,7066
109,4966
110,2920
111,8866
112,5266
113,2448
114,9033
115,5071
116,12007
117,8487
118,2425
119,11082
120,10287
121,5866
122,11407
123,8786
124,12932
125,7666
126,1721
127,6608
128,2425
129,9686
130,13832
131,7391
132,12007
133,5345
134,10966
135,2021
136,7887
137,11212
138,4941
139,11432
140,2951
141,8266
142,13612
143,5645
144,12307
145,3098
146,7991
147,13232
148,4966
149,8291
150,13232
151,4941
152,7366
153,12932
154,2321
155,4746
156,325
157,4016
158,4923
159,10312
160,14432
161,900
162,3546
163,9361
164,9711
165,11212
166,1500
167,4066
168,325
169,2621
170,8486
171,7691
172,9215
173,13832
174,14058
175,1500
176,3441
177,4121
178,5866
179,7862
180,1225
181,3582
182,4567
183,6245
184,6643
185,7966
186,6166
187,8566
188,9907
189,9791
190,9687
191,11432
192,5841
193,6092
194,6992
195,6141
196,5266
197,6766
198,4746
199,3221
200,2945
201,3025
202,2021
203,15657
