Time,com.sun.org.apache.xerces.internal.utils.XMLSecurityManager Data
0,260
1,409
2,431
3,335
4,346
5,109
6,529
7,433
8,421
9,136
10,367
11,181
12,409
13,505
14,245
15,457
16,426
17,107
18,263
19,107
20,407
21,433
22,513
23,491
24,673
25,619
26,107
27,99
28,287
29,696
30,229
31,165
32,579
33,553
34,479
35,400
36,229
37,63
38,755
39,415
40,195
41,173
42,301
43,625
44,181
45,697
46,385
47,575
48,125
49,367
50,245
51,687
52,601
53,357
54,85
55,603
56,285
57,463
58,742
59,287
60,391
61,109
62,625
63,176
64,176
65,354
66,619
67,723
68,155
69,271
70,455
71,599
72,643
73,843
74,83
75,125
76,197
77,433
78,433
79,463
80,343
81,481
82,413
83,457
84,455
85,397
86,319
87,287
88,103
89,83
90,877
91,805
92,529
93,431
94,341
95,59
96,923
97,715
98,389
99,255
100,505
101,295
102,216
103,577
104,409
105,245
106,721
107,433
108,208
109,735
110,417
111,973
112,691
113,205
114,899
115,835
116,481
117,925
118,715
119,1047
120,625
121,149
122,541
123,205
124,787
125,1119
126,603
127,973
128,439
129,889
130,173
131,643
132,909
133,407
134,927
135,247
136,673
137,1101
138,463
139,997
140,259
141,651
142,1071
143,409
144,675
145,1071
146,407
147,601
148,1047
149,197
150,391
151,333
152,405
153,837
154,1167
155,83
156,295
157,762
158,789
159,909
160,131
161,337
162,221
163,691
164,627
165,749
166,1119
167,1138
168,131
169,287
170,341
171,481
172,641
173,109
174,299
175,377
176,511
177,544
178,649
179,505
180,697
181,805
182,795
183,787
184,927
185,479
186,500
187,571
188,503
189,433
190,553
191,391
192,269
193,247
194,253
195,173
196,1265
