Time,com.sun.org.apache.xerces.internal.xni.XMLString Data
0,2463
1,3755
2,3973
3,3097
4,3217
5,1103
6,4835
7,3971
8,445
9,3875
10,1351
11,3401
12,1751
13,3755
14,4619
15,2311
16,4187
17,3953
18,1093
19,2449
20,1093
21,3745
22,3971
23,4719
24,4501
25,6131
26,5621
27,239
28,1093
29,1005
30,2713
31,6347
32,2183
33,1599
34,5289
35,5051
36,4393
37,3691
38,2183
39,705
40,6829
41,3833
42,1869
43,1663
44,2831
45,597
46,5699
47,1751
48,6347
49,3539
50,445
51,5257
52,1231
53,3401
54,2311
55,6237
56,5483
57,3303
58,445
59,887
60,5493
61,2655
62,4265
63,6757
64,2665
65,3617
66,229
67,1103
68,5699
69,1695
70,1719
71,3281
72,5621
73,6573
74,1525
75,2537
76,4177
77,5461
78,5837
79,7653
80,877
81,1231
82,1903
83,3971
84,3971
85,4265
86,3185
87,4403
88,3823
89,4187
90,4177
91,3695
92,2969
93,2665
94,1037
95,877
96,7919
97,7271
98,4835
99,3961
100,3163
101,661
102,8341
103,6485
104,3607
105,2397
106,445
107,4619
108,2753
109,2063
110,5267
111,3755
112,2311
113,6563
114,3971
115,1999
116,6645
117,3855
118,8783
119,6269
120,1967
121,8125
122,7565
123,4403
124,8351
125,6485
126,9441
127,5699
128,1447
129,4955
130,1967
131,7133
132,10089
133,5493
134,8783
135,4049
136,8063
137,1663
138,5837
139,8223
140,3745
141,8361
142,2345
143,6131
144,9951
145,4265
146,8999
147,2441
148,5925
149,9657
150,3755
151,6141
152,9657
153,3745
154,5483
155,9441
156,1879
157,3617
158,455
159,3075
160,3747
161,7575
162,10521
163,877
164,2753
165,6917
166,7143
167,8223
168,1309
169,3107
170,455
171,2095
172,6269
173,5709
174,6799
175,10089
176,10273
177,1309
178,2665
179,3175
180,4403
181,5827
182,1103
183,2785
184,3475
185,4697
186,4987
187,5915
188,4619
189,6347
190,7271
191,7221
192,7133
193,8361
194,4393
195,4587
196,5213
197,4609
198,3971
199,5051
200,3617
201,2527
202,2321
203,2399
204,1663
205,11395
