Time,com.sun.org.apache.xml.internal.serializer.NamespaceMappings Data
0,5835
1,5835
2,2997
3,2997
4,2838
5,5835
6,5835
7,2997
8,2997
9,5835
10,2838
11,5835
12,5835
13,2997
14,5835
15,5835
16,2997
17,2838
18,5835
19,2838
20,5835
21,5835
22,5835
23,2838
24,2838
25,5835
26,2838
27,5835
28,5835
29,5588
30,5835
31,2838
32,5835
33,2838
34,2838
35,5835
36,2838
37,5835
38,5835
39,5323
40,2997
41,5835
42,5835
43,5835
44,2838
45,8673
46,2838
47,8673
48,2997
49,5835
50,1012
51,2838
52,5835
53,2838
54,2997
55,8832
56,8673
57,5835
58,2838
59,5835
60,8832
61,8673
62,2997
63,2838
64,5835
65,5835
66,2838
67,5835
68,5835
69,2838
70,5835
71,2997
72,2838
73,5835
74,2997
75,2997
76,8832
77,8832
78,5835
79,2997
80,2997
81,5835
82,8832
83,2838
84,5835
85,5835
86,5835
87,5835
88,5835
89,6198
90,5835
91,8832
92,2838
93,8832
94,8832
95,2838
96,5835
97,8832
98,5835
99,8832
100,5835
101,11670
102,5835
103,2997
104,5835
105,2838
106,5835
107,11670
108,8673
109,8832
110,2838
111,8673
112,2997
113,8832
114,11670
115,2997
116,11670
117,2838
118,5835
119,11670
120,2838
121,8832
122,2997
123,8673
124,11670
125,5835
126,8673
127,11670
128,2997
129,5835
130,11670
131,2997
132,5835
133,2838
134,2997
135,5835
136,11670
137,11670
138,5835
139,5835
140,8673
141,11670
142,5835
143,2838
144,2997
145,5835
146,8673
147,8832
148,11670
149,11670
150,2997
151,2838
152,5835
153,8832
154,2838
155,2997
156,2838
157,5835
158,5835
159,5835
160,5835
161,8832
162,8673
163,8832
164,11670
165,2838
166,5835
167,5835
168,2838
169,5835
170,5835
171,5835
172,2997
173,2838
174,2838
175,2997
176,14508
