Time,com.sun.proxy.$Proxy184 Data
0,346
1,346
2,346
3,346
4,346
5,346
6,346
7,346
8,345
9,345
10,345
11,345
12,345
13,345
14,345
15,345
16,345
17,345
18,345
19,345
20,345
21,345
22,345
23,345
24,345
25,345
26,345
27,345
28,345
29,345
30,345
31,345
32,345
33,345
34,345
35,345
36,345
37,345
38,345
39,345
40,345
41,345
42,345
43,345
44,345
45,345
46,345
47,345
48,345
49,345
50,345
51,345
52,345
53,345
54,345
55,345
56,345
57,345
58,345
59,345
60,345
61,345
62,345
63,345
64,345
65,345
66,345
67,345
68,345
69,345
70,345
71,345
72,345
73,345
74,345
75,345
76,345
77,345
78,345
79,345
80,345
81,345
82,345
83,345
84,345
85,345
86,345
87,345
88,345
89,345
90,345
91,345
92,345
93,345
94,345
95,345
96,345
97,345
98,345
99,345
100,345
101,345
102,345
103,345
104,345
105,345
106,345
107,345
108,345
109,345
110,345
111,345
112,345
113,345
114,345
115,345
116,345
117,345
118,345
119,345
120,345
121,345
122,345
123,345
124,345
125,345
126,345
127,345
128,345
129,345
130,345
131,345
132,345
133,345
134,345
135,345
136,345
137,345
138,345
139,345
140,345
141,345
142,345
143,345
144,345
145,345
146,345
